ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0050804	modulation of chemical synaptic transmission	67/501	483/18577	6.65227591673295e-29	1.30502987131965e-25	1.15190541410227e-25	KCNQ3/PRKCB/CELF4/GRM4/NETO1/PTPRS/ADRA2A/FBXL20/SHISA7/LRRTM1/PRKCE/GRIN1/GRIA3/SYT7/RAB3A/SYT12/SYT1/LARGE1/MAPK9/DNM1/VGF/PINK1/NRXN1/UNC13A/GPR158/STAU2/CACNG2/NEFL/MAPK8IP2/CACNG3/DLGAP4/CPEB3/SLC4A8/GRIN2A/DGKZ/SYNGR1/RASGRF1/GSK3B/GRM7/CLSTN3/CHRM1/PLCB1/CAMK2B/ARHGAP44/KCNB1/ADGRB1/LRRC4/DCC/PPFIA3/LRRC4C/NTNG1/EPHB2/FER1L5/INA/CACNA1A/GRM2/DLGAP1/CHRNB2/APBA2/PHF24/CPLX1/SYP/BRSK1/CDK5/DLGAP2/SLC8A3/STX1A	67
GO:0099177	regulation of trans-synaptic signaling	67/501	484/18577	7.5391673675312e-29	1.30502987131965e-25	1.15190541410227e-25	KCNQ3/PRKCB/CELF4/GRM4/NETO1/PTPRS/ADRA2A/FBXL20/SHISA7/LRRTM1/PRKCE/GRIN1/GRIA3/SYT7/RAB3A/SYT12/SYT1/LARGE1/MAPK9/DNM1/VGF/PINK1/NRXN1/UNC13A/GPR158/STAU2/CACNG2/NEFL/MAPK8IP2/CACNG3/DLGAP4/CPEB3/SLC4A8/GRIN2A/DGKZ/SYNGR1/RASGRF1/GSK3B/GRM7/CLSTN3/CHRM1/PLCB1/CAMK2B/ARHGAP44/KCNB1/ADGRB1/LRRC4/DCC/PPFIA3/LRRC4C/NTNG1/EPHB2/FER1L5/INA/CACNA1A/GRM2/DLGAP1/CHRNB2/APBA2/PHF24/CPLX1/SYP/BRSK1/CDK5/DLGAP2/SLC8A3/STX1A	67
GO:0050808	synapse organization	50/501	482/18577	2.66080650373219e-16	3.07057070530695e-13	2.71028816853844e-13	CACNB3/LZTS3/LRTM2/IL1RAPL2/PTPRS/L1CAM/SPTBN2/SHISA7/LRRTM1/CDH8/RAB3A/GLRB/ARHGEF9/LARGE1/PTPRT/CAP2/GABRA1/NRXN1/SYNDIG1/CNTNAP1/UNC13A/GPR158/STAU2/CACNG2/NEFL/SEZ6/MYCBP2/SPTBN4/CLSTN3/CACNB1/CAMK2B/ARHGAP44/IGSF21/ADGRL1/ADGRB1/LRRC4/SEZ6L2/PPFIA3/LRRC4C/NTNG1/EPHB2/PCLO/INA/PIN1/GAP43/CHRNB2/CDK5/ADD2/RAC3/SLC8A3	50
GO:0042391	regulation of membrane potential	44/501	439/18577	6.1874899515169e-14	5.23560358946656e-11	4.6212889477398e-11	KCNQ3/CACNB3/CACNA1D/RNF207/SCN1A/KCNJ3/CELF4/NETO1/KCNH3/GRIN1/GRIA3/KCNH7/GLRB/GABRD/ATP1A3/SLC4A3/KCNH2/GABRA1/PINK1/PTPN3/NRXN1/CNTNAP1/CACNG2/SEZ6/MAPK8IP2/SLC4A8/GRIN2A/INSYN1/TRPC5/GSK3B/CHRM1/KCNQ5/SLC1A6/KCNB1/KCNA2/GABRG3/SCN8A/CHRNB2/FGF12/CDK5/KCNC2/SLC8A3/STX1A/HCN1	44
GO:0007269	neurotransmitter secretion	25/501	143/18577	9.07383637689178e-14	5.23560358946656e-11	4.6212889477398e-11	PRKCB/GRM4/FBXL20/SYT7/SYT5/RAB3A/SYT12/SYT1/NRXN1/UNC13A/GPR158/SV2A/CADPS/SLC4A8/PTPRN2/PPFIA3/FER1L5/PCLO/RPH3A/CPLX1/SYP/BRSK1/CDK5/ABCC8/STX1A	25
GO:0099643	signal release from synapse	25/501	143/18577	9.07383637689178e-14	5.23560358946656e-11	4.6212889477398e-11	PRKCB/GRM4/FBXL20/SYT7/SYT5/RAB3A/SYT12/SYT1/NRXN1/UNC13A/GPR158/SV2A/CADPS/SLC4A8/PTPRN2/PPFIA3/FER1L5/PCLO/RPH3A/CPLX1/SYP/BRSK1/CDK5/ABCC8/STX1A	25
GO:0017157	regulation of exocytosis	28/501	189/18577	2.16826005094623e-13	1.07235947091083e-10	9.46535177127353e-11	RAB26/PRKCB/ADRA2A/FBXL20/ATP13A2/SYT7/SYT5/SCAMP5/RAB3A/SYT12/SYT1/RAB3C/SPHK2/CADPS/SLC4A8/STXBP5L/KCNB1/PCLO/SMPD3/SYT13/RPH3A/CPLX1/SYP/CDK5/CDK5R2/RAB15/SYT3/STX1A	28
GO:0034765	regulation of monoatomic ion transmembrane transport	43/501	452/18577	7.23969298555984e-13	2.81358122254717e-10	2.4834523059547e-10	KCNQ3/CACNB3/CACNA1D/RNF207/SCN1A/KCNJ3/NETO1/ADRA2A/KCNH3/PRKCE/GRIN1/CABP1/CRHR1/KCNH7/KCNH2/RGS7/SPHK2/PTPN3/TMEM38A/HPCA/CACNA2D2/THY1/CACNG2/CACNG3/GRIN2A/GNB5/KCNQ5/CACNB1/KCNB1/KCNA2/EPHB2/KCNAB3/FXYD7/CACNA1A/SCN8A/FGF12/WNK2/KCNF1/KCNIP3/HECW1/KCNC2/KCNB2/HCN1	43
GO:0017158	regulation of calcium ion-dependent exocytosis	14/501	39/18577	7.31433593383146e-13	2.81358122254717e-10	2.4834523059547e-10	ADRA2A/SYT7/SYT5/SCAMP5/RAB3A/SYT12/SYT1/KCNB1/SYT13/RPH3A/CDK5/CDK5R2/SYT3/STX1A	14
GO:0023061	signal release	44/501	483/18577	1.7142518739985e-12	5.90016269177971e-10	5.20787263043465e-10	PRKCB/GRM4/ADRA2A/PFKM/FBXL20/NNAT/PRKCE/SYT7/SYT5/CRHR1/RAB3A/SYT12/SYT1/EIPR1/VGF/PINK1/NRXN1/UNC13A/GPR158/SV2A/CADPS/BRSK2/SLC4A8/PLCB1/KCNB1/GPLD1/KCNA2/PTPRN2/PPFIA3/FER1L5/PCLO/SMPD3/GRM2/CHRNB2/SYT13/RPH3A/CPLX1/SYP/BRSK1/CDK5/CRH/ABCC8/SYT3/STX1A	44
