ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	36/258	364/18577	1.61319983243432e-20	5.37518184167114e-17	3.88866064871009e-17	C4B/C1R/CFI/STAT3/C1S/C1QC/MYD88/C1QB/FCGR3A/SERPING1/SLC11A1/TNFRSF1B/IL4R/C3/ICAM1/B2M/NOD2/FCER1G/C1QA/CSF2RB/HLA-E/PTPRC/WAS/CR1/SOCS3/TCIRG1/CD81/BCL6/C7/MYO1G/C1RL/FCGR1A/PTPN6/IL17RA/NFKB2/IL21R	36
GO:0002443	leukocyte mediated immunity	38/258	450/18577	3.13998497532801e-19	5.23121496889646e-16	3.78450820710586e-16	C4B/C1R/CFI/C1S/C1QC/MYD88/C1QB/FCGR3A/SERPING1/ITGB2/TNFRSF1B/IL4R/ADGRE2/C3/ICAM1/B2M/NOD2/FCER1G/C1QA/CD300A/CSF2RB/HLA-E/SPI1/VAMP8/PTPRC/RAC2/WAS/CR1/TCIRG1/CD81/BCL6/C7/MYO1G/C1RL/FCGR1A/PTPN6/IRAK4/IL21R	38
GO:0016064	immunoglobulin mediated immune response	26/258	193/18577	2.0992428806665e-18	2.33155909279359e-15	1.68676006902676e-15	C4B/C1R/CFI/C1S/C1QC/MYD88/C1QB/FCGR3A/SERPING1/IL4R/C3/NOD2/FCER1G/C1QA/CSF2RB/HLA-E/PTPRC/CR1/TCIRG1/CD81/BCL6/C7/C1RL/FCGR1A/PTPN6/IL21R	26
GO:0019724	B cell mediated immunity	26/258	196/18577	3.10909348703087e-18	2.58987487469672e-15	1.87363791718439e-15	C4B/C1R/CFI/C1S/C1QC/MYD88/C1QB/FCGR3A/SERPING1/IL4R/C3/NOD2/FCER1G/C1QA/CSF2RB/HLA-E/PTPRC/CR1/TCIRG1/CD81/BCL6/C7/C1RL/FCGR1A/PTPN6/IL21R	26
GO:0002455	humoral immune response mediated by circulating immunoglobulin	16/258	54/18577	1.58244744493266e-17	1.05454297730313e-14	7.629062418728e-15	C4B/C1R/CFI/C1S/C1QC/C1QB/SERPING1/C3/NOD2/C1QA/PTPRC/CR1/CD81/C7/C1RL/PTPN6	16
GO:0002449	lymphocyte mediated immunity	31/258	352/18577	2.40170788061584e-16	1.33374844303533e-13	9.64896674843908e-14	C4B/C1R/CFI/C1S/C1QC/MYD88/C1QB/FCGR3A/SERPING1/TNFRSF1B/IL4R/C3/ICAM1/B2M/NOD2/FCER1G/C1QA/CSF2RB/HLA-E/PTPRC/WAS/CR1/TCIRG1/CD81/BCL6/C7/MYO1G/C1RL/FCGR1A/PTPN6/IL21R	31
GO:0002274	myeloid leukocyte activation	26/258	241/18577	5.42204851638177e-16	2.58089509379772e-13	1.86714151917508e-13	MYD88/LTBR/FCGR3A/PLSCR1/ITGB2/SLC11A1/IL4R/CD93/ADGRE2/FCER1G/C1QA/CD300A/SPI1/VAMP8/PTPRC/VSIG4/RAC2/NMI/TGFBR2/PTPN6/SBNO2/CSF1/TLR2/HAMP/IFI35/TLR1	26
GO:0031349	positive regulation of defense response	34/258	478/18577	4.85033666816463e-15	2.02016522229057e-12	1.46148302238118e-12	OSMR/EMILIN1/MYD88/TNFRSF1A/ALPK1/PARP9/CYBA/COLEC12/PLSCR1/CD14/C3/NOD2/CD300A/HLA-E/SPI1/VAMP8/GBP2/HCK/IFI16/CASP4/NMI/CD81/RBM47/FCGR1A/PIK3AP1/TLR2/IL17RA/IRAK4/IFI35/CTSS/TLR1/TRIM5/GPSM3/GSDMD	34
GO:0006909	phagocytosis	24/258	236/18577	2.86286531855865e-14	1.05989636015972e-11	7.66779132105183e-12	C4B/MYD88/CYBA/COLEC12/PLSCR1/ITGB2/SLC11A1/CD14/CD93/C3/NOD2/FCER1G/CD300A/ANO6/PTPRC/NCF4/HCK/P2RY6/MSR1/MYO1G/FCGR1A/TLR2/RAB20/ITGAL	24
GO:0050900	leukocyte migration	30/258	396/18577	4.26240005950165e-14	1.42023169982595e-11	1.02746275118513e-11	EMILIN1/MYD88/ALOX5/ITGB2/CD99/ADGRE2/MSN/SLAMF8/ITGA6/ICAM1/NOD2/FCER1G/CD300A/ANO6/SPI1/RAC2/HCK/MMP14/HSD3B7/B4GALT1/CD81/MYO1G/CCR5/CSF1/IL17RA/IRAK4/GPSM3/SELL/CCR1/ITGAL	30
GO:0006958	complement activation, classical pathway	12/258	41/18577	2.20340266718111e-13	6.67430698822495e-11	4.82850919410979e-11	C4B/C1R/CFI/C1S/C1QC/C1QB/SERPING1/C3/C1QA/CR1/C7/C1RL	12
GO:0006956	complement activation	14/258	66/18577	2.83998145205863e-13	7.8856818318828e-11	5.70487502211778e-11	C4B/C1R/CFI/C1S/C1QC/C1QB/SERPING1/C3/C1QA/VSIG4/CR1/C7/C1RL/CFB	14
