ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0050804	modulation of chemical synaptic transmission	151/1537	483/18577	1.3440369533572e-49	4.47208200158759e-46	3.94457155889143e-46	DLGAP3/PREPL/SNCA/PAFAH1B1/GRIN3A/GABBR1/STXBP1/PRKN/SHISA9/GRIK2/BRAF/PPP3CB/SLC24A2/GRID1/TMEM25/YWHAH/KCTD13/CPLX2/CNTN4/DGKI/GUCY1B1/HOMER1/TSHZ3/NEURL1/RIMS3/GIT1/SYN1/CYP46A1/DMPK/SYNGAP1/NPTN/PRKCZ/ACHE/SNAP25/PNKD/SYT4/GRM5/STX1B/SNCG/CX3CL1/PFN2/DGKE/BEGAIN/CACNG8/SHANK2/MAP1B/LRP8/HRAS/GRM6/MAP1A/ABR/STXBP5/LRFN2/CAMKV/APBA1/DLG4/ASIC1/NEFH/NRG3/SV2B/PRRT2/CSPG5/IQSEC2/RIMS1/PLCL2/GRIN2B/PRKAR1B/RGS4/CACNA1B/EPHA4/ERC2/CACNG7/NLGN4X/CDKL5/GRM3/MEF2C/CACNB4/ADCY1/HTR2A/JPH3/NEUROD2/SLC8A2/YWHAG/GRM8/KCNQ3/PRKCB/CELF4/GRM4/NETO1/PTPRS/ADRA2A/FBXL20/SHISA7/LRRTM1/PRKCE/GRIN1/GRIA3/SYT7/RAB3A/SYT12/SYT1/LARGE1/MAPK9/DNM1/VGF/PINK1/NRXN1/UNC13A/GPR158/STAU2/CACNG2/NEFL/MAPK8IP2/CACNG3/DLGAP4/CPEB3/SLC4A8/GRIN2A/DGKZ/SYNGR1/RASGRF1/GSK3B/GRM7/CLSTN3/CHRM1/PLCB1/CAMK2B/ARHGAP44/KCNB1/ADGRB1/LRRC4/DCC/PPFIA3/LRRC4C/NTNG1/EPHB2/FER1L5/INA/CACNA1A/GRM2/DLGAP1/CHRNB2/APBA2/PHF24/CPLX1/SYP/BRSK1/CDK5/DLGAP2/SLC8A3/STX1A	151
GO:0099177	regulation of trans-synaptic signaling	151/1537	484/18577	1.80507850719984e-49	4.47208200158759e-46	3.94457155889143e-46	DLGAP3/PREPL/SNCA/PAFAH1B1/GRIN3A/GABBR1/STXBP1/PRKN/SHISA9/GRIK2/BRAF/PPP3CB/SLC24A2/GRID1/TMEM25/YWHAH/KCTD13/CPLX2/CNTN4/DGKI/GUCY1B1/HOMER1/TSHZ3/NEURL1/RIMS3/GIT1/SYN1/CYP46A1/DMPK/SYNGAP1/NPTN/PRKCZ/ACHE/SNAP25/PNKD/SYT4/GRM5/STX1B/SNCG/CX3CL1/PFN2/DGKE/BEGAIN/CACNG8/SHANK2/MAP1B/LRP8/HRAS/GRM6/MAP1A/ABR/STXBP5/LRFN2/CAMKV/APBA1/DLG4/ASIC1/NEFH/NRG3/SV2B/PRRT2/CSPG5/IQSEC2/RIMS1/PLCL2/GRIN2B/PRKAR1B/RGS4/CACNA1B/EPHA4/ERC2/CACNG7/NLGN4X/CDKL5/GRM3/MEF2C/CACNB4/ADCY1/HTR2A/JPH3/NEUROD2/SLC8A2/YWHAG/GRM8/KCNQ3/PRKCB/CELF4/GRM4/NETO1/PTPRS/ADRA2A/FBXL20/SHISA7/LRRTM1/PRKCE/GRIN1/GRIA3/SYT7/RAB3A/SYT12/SYT1/LARGE1/MAPK9/DNM1/VGF/PINK1/NRXN1/UNC13A/GPR158/STAU2/CACNG2/NEFL/MAPK8IP2/CACNG3/DLGAP4/CPEB3/SLC4A8/GRIN2A/DGKZ/SYNGR1/RASGRF1/GSK3B/GRM7/CLSTN3/CHRM1/PLCB1/CAMK2B/ARHGAP44/KCNB1/ADGRB1/LRRC4/DCC/PPFIA3/LRRC4C/NTNG1/EPHB2/FER1L5/INA/CACNA1A/GRM2/DLGAP1/CHRNB2/APBA2/PHF24/CPLX1/SYP/BRSK1/CDK5/DLGAP2/SLC8A3/STX1A	151
GO:0050808	synapse organization	124/1537	482/18577	2.1822768737653e-31	3.60439396983569e-28	3.17923283504335e-28	CBLN4/ZNF804A/ABI2/DLGAP3/SNCA/PAFAH1B1/SPOCK2/SLIT1/GRID1/PAK3/SLITRK5/CACNA1S/DOK7/GPRASP3/SPTB/ANK3/ASIC2/HOMER1/NEURL1/CNKSR2/SYN1/DMPK/SYNGAP1/NPTN/DRP2/KIF1A/ACHE/SNAP25/DCTN1/LRRTM3/GRM5/LRFN5/SNCG/CX3CL1/LRRN3/ARMCX5-GPRASP2/PFN2/NGEF/SHANK2/MAP1B/BSN/LRP8/SNCB/VSTM5/LRFN2/TPBG/NRXN2/CAMKV/DLG4/NEFH/NRG3/PLXNA4/LHFPL4/GABRB3/GRIN2B/EPHA4/ERC2/LRFN4/NECTIN1/NLGN4X/CDKL5/NEGR1/SEZ6L/AMIGO1/FLRT3/MEF2C/CACNB4/NEUROD2/DSCAM/SLC8A2/ADGRB3/GABRB2/FRMPD4/CDH10/CACNB3/LZTS3/LRTM2/IL1RAPL2/PTPRS/L1CAM/SPTBN2/SHISA7/LRRTM1/CDH8/RAB3A/GLRB/ARHGEF9/LARGE1/PTPRT/CAP2/GABRA1/NRXN1/SYNDIG1/CNTNAP1/UNC13A/GPR158/STAU2/CACNG2/NEFL/SEZ6/MYCBP2/SPTBN4/CLSTN3/CACNB1/CAMK2B/ARHGAP44/IGSF21/ADGRL1/ADGRB1/LRRC4/SEZ6L2/PPFIA3/LRRC4C/NTNG1/EPHB2/PCLO/INA/PIN1/GAP43/CHRNB2/CDK5/ADD2/RAC3/SLC8A3	124
GO:0007269	neurotransmitter secretion	61/1537	143/18577	6.16046094226789e-29	6.10501679378748e-26	5.38489133311501e-26	PREPL/SNCA/DOC2A/STXBP1/PRKN/BRAF/SNAP47/NAPB/SNPH/NAPA/HRH3/CPLX2/RIMS3/GIT1/SLC32A1/SYN1/LIN7B/SNAP25/PNKD/SYT4/DNAJC5/STX1B/SNCG/PFN2/PIP5K1C/STXBP5/NRXN2/ASIC1/SYNJ1/SV2B/PRRT2/CSPG5/RIMS1/ERC2/MEF2C/CACNB4/PRKCB/GRM4/FBXL20/SYT7/SYT5/RAB3A/SYT12/SYT1/NRXN1/UNC13A/GPR158/SV2A/CADPS/SLC4A8/PTPRN2/PPFIA3/FER1L5/PCLO/RPH3A/CPLX1/SYP/BRSK1/CDK5/ABCC8/STX1A	61
GO:0099643	signal release from synapse	61/1537	143/18577	6.16046094226789e-29	6.10501679378748e-26	5.38489133311501e-26	PREPL/SNCA/DOC2A/STXBP1/PRKN/BRAF/SNAP47/NAPB/SNPH/NAPA/HRH3/CPLX2/RIMS3/GIT1/SLC32A1/SYN1/LIN7B/SNAP25/PNKD/SYT4/DNAJC5/STX1B/SNCG/PFN2/PIP5K1C/STXBP5/NRXN2/ASIC1/SYNJ1/SV2B/PRRT2/CSPG5/RIMS1/ERC2/MEF2C/CACNB4/PRKCB/GRM4/FBXL20/SYT7/SYT5/RAB3A/SYT12/SYT1/NRXN1/UNC13A/GPR158/SV2A/CADPS/SLC4A8/PTPRN2/PPFIA3/FER1L5/PCLO/RPH3A/CPLX1/SYP/BRSK1/CDK5/ABCC8/STX1A	61
GO:0099003	vesicle-mediated transport in synapse	76/1537	219/18577	1.24230375439787e-28	1.02593585050691e-25	9.04920208466658e-26	ITSN1/PREPL/SNCA/DOC2A/STXBP1/PRKN/BRAF/PPP3CB/SNAP47/SLC17A7/NAPB/CTBP1/SNPH/AP3D1/NAPA/CPLX2/DNAJC6/RIMS3/GIT1/SLC32A1/SYN1/AP2M1/ATP6V1A/SNAP25/SYT4/DNAJC5/STX1B/SNCG/PFN2/ATP6V1C1/BSN/AAK1/PIP5K1C/SNCB/STXBP5/SYNJ1/SV2B/PRRT2/ATP6V0D1/CSPG5/PACSIN1/RIMS1/ATP6V1G2/ATP6V0A1/AP2A1/GRIP2/PRKAR1B/ERC2/NLGN4X/CALY/CACNB4/PRKCB/FBXL20/SYT7/SYT5/RAB3A/SYT12/SYT1/DNM1/HPCA/SYNDIG1/UNC13A/SV2A/CADPS/BRSK2/SLC4A8/AP3B2/SNAP91/PPFIA3/PCLO/RPH3A/CPLX1/SYP/BRSK1/CDK5/STX1A	76
GO:0042391	regulation of membrane potential	112/1537	439/18577	4.46990453312537e-28	3.16405385166232e-25	2.79083362729873e-25	CACNA1C/HCN3/SNCA/SCN3B/GRIN3A/GABBR1/PRKN/SLC29A1/GRIK2/SCN1B/KCNK12/GRID1/TMEM25/PID1/SCN10A/YWHAH/KCNH5/AKAP6/ANK3/CHRNA10/ASIC2/NDUFS1/TUSC2/KCNK3/P2RX5/RIMS3/DMPK/CACNA1G/ABAT/PRKCZ/EHD3/KCNK9/GRM5/GSK3A/STX1B/CHRNA4/HCN2/SCN2B/KCNJ11/GABRA5/MTOR/KCNK4/ZACN/DLG4/ASIC1/ATP1B1/SLC9A1/KCNC1/RIMS1/GABRB3/PIP5KL1/GRIN2B/PRKAR1B/RGS4/KCNH1/NLGN4X/MLLT11/ANK2/SLC8A1/MEF2C/CACNB4/CACNA1I/OPRD1/SLC8A2/RGS7BP/GABRB2/CALM3/KCNA1/KCNQ3/CACNB3/CACNA1D/RNF207/SCN1A/KCNJ3/CELF4/NETO1/KCNH3/GRIN1/GRIA3/KCNH7/GLRB/GABRD/ATP1A3/SLC4A3/KCNH2/GABRA1/PINK1/PTPN3/NRXN1/CNTNAP1/CACNG2/SEZ6/MAPK8IP2/SLC4A8/GRIN2A/INSYN1/TRPC5/GSK3B/CHRM1/KCNQ5/SLC1A6/KCNB1/KCNA2/GABRG3/SCN8A/CHRNB2/FGF12/CDK5/KCNC2/SLC8A3/STX1A/HCN1	112
GO:0099504	synaptic vesicle cycle	71/1537	197/18577	5.44588888746496e-28	3.37304742967361e-25	2.97517508694138e-25	ITSN1/PREPL/SNCA/DOC2A/STXBP1/PRKN/BRAF/PPP3CB/SNAP47/SLC17A7/NAPB/CTBP1/SNPH/AP3D1/NAPA/CPLX2/DNAJC6/RIMS3/GIT1/SLC32A1/SYN1/AP2M1/ATP6V1A/SNAP25/SYT4/DNAJC5/STX1B/SNCG/PFN2/ATP6V1C1/BSN/PIP5K1C/SNCB/STXBP5/SYNJ1/SV2B/PRRT2/ATP6V0D1/CSPG5/PACSIN1/RIMS1/ATP6V1G2/ATP6V0A1/PRKAR1B/ERC2/NLGN4X/CACNB4/PRKCB/FBXL20/SYT7/SYT5/RAB3A/SYT12/SYT1/DNM1/SYNDIG1/UNC13A/SV2A/CADPS/BRSK2/SLC4A8/AP3B2/SNAP91/PPFIA3/PCLO/RPH3A/CPLX1/SYP/BRSK1/CDK5/STX1A	71
GO:0034765	regulation of monoatomic ion transmembrane transport	110/1537	452/18577	9.889267823187e-26	5.4445913404324e-23	4.80236725168098e-23	CACNA1C/HCN3/SNCA/SCN3B/KCNA3/DPP6/EDN3/SCN1B/KCNK12/PPP3CB/CACNA1S/SCN10A/KCNC3/VDAC1/YWHAH/TPCN1/KCNH5/AKAP6/KCNIP4/KCNQ2/ANK3/FGF14/TRPC3/ASIC2/HOMER1/P2RX5/DPP10/KCNJ6/CACNA1G/SCN2A/CACNA2D3/GRM5/KCNJ14/HCN2/KCNC4/SCN2B/CX3CL1/KCNJ11/CACNG8/GRM6/PPP3R2/KCNK4/KCNS3/ATP1B1/SLC9A1/HECW2/KCNC1/KCNJ4/GRIN2B/KCNQ4/RGS4/CACNA1B/KCNH1/CACNG7/CBARP/CALHM1/ANK2/PSEN2/KCNAB1/SLC8A1/AMIGO1/CACNB4/CACNA1I/JPH3/KCNV1/CALM3/KCNA1/KCNQ3/CACNB3/CACNA1D/RNF207/SCN1A/KCNJ3/NETO1/ADRA2A/KCNH3/PRKCE/GRIN1/CABP1/CRHR1/KCNH7/KCNH2/RGS7/SPHK2/PTPN3/TMEM38A/HPCA/CACNA2D2/THY1/CACNG2/CACNG3/GRIN2A/GNB5/KCNQ5/CACNB1/KCNB1/KCNA2/EPHB2/KCNAB3/FXYD7/CACNA1A/SCN8A/FGF12/WNK2/KCNF1/KCNIP3/HECW1/KCNC2/KCNB2/HCN1	110
GO:0006836	neurotransmitter transport	69/1537	206/18577	4.59819377356492e-25	2.27840501480142e-22	2.00965268924648e-22	PREPL/SNCA/DOC2A/STXBP1/PRKN/SLC29A1/BRAF/SNAP47/SLC17A7/NAPB/SNPH/SLC29A2/PER2/NAPA/HRH3/CPLX2/RIMS3/GIT1/SLC32A1/SYN1/LIN7B/SNAP25/PNKD/SYT4/DNAJC5/STX1B/SNCG/PFN2/PIP5K1C/STXBP5/NRXN2/ASIC1/SYNJ1/SV2B/PRRT2/CSPG5/RIMS1/SLC6A17/ERC2/MEF2C/CACNB4/PRKCB/GRM4/FBXL20/SYT7/SYT5/RAB3A/SYT12/SYT1/NRXN1/UNC13A/GPR158/SV2A/CADPS/SLC4A8/SLC1A6/PTPRN2/PPFIA3/FER1L5/PCLO/RPH3A/CPLX1/SYP/BRSK1/CDK5/ABCC8/SLC6A7/SYNGR3/STX1A	69
GO:0016079	synaptic vesicle exocytosis	45/1537	95/18577	5.11139172282127e-24	2.30244963514358e-21	2.03086109408171e-21	PREPL/SNCA/DOC2A/STXBP1/BRAF/SNAP47/NAPB/SNPH/NAPA/CPLX2/RIMS3/GIT1/SYN1/SNAP25/SYT4/DNAJC5/STX1B/PFN2/PIP5K1C/STXBP5/SYNJ1/SV2B/PRRT2/CSPG5/RIMS1/ERC2/CACNB4/PRKCB/FBXL20/SYT7/SYT5/RAB3A/SYT12/SYT1/UNC13A/SV2A/CADPS/SLC4A8/PPFIA3/PCLO/RPH3A/CPLX1/SYP/CDK5/STX1A	45
GO:0007409	axonogenesis	103/1537	447/18577	3.32833899420792e-22	1.37432664302502e-19	1.21221609683783e-19	LHX4/PAFAH1B1/STXBP1/GDI1/FEZF2/EDN3/SLIT1/SCN1B/BRAF/PPP3CB/PAK3/SLITRK5/ARK2C/ANK3/CNTN4/OR10A4/ADARB1/MAP1S/KIAA0319/PAK1/CHN1/CHL1/ARHGAP35/SYNGAP1/TBR1/SNAP25/SEMA6B/FOXG1/MAP3K13/UNC5A/RET/ATOH7/MCF2/MAP1B/MARK2/MAP1A/UCHL1/PRDM8/MAP2/ETV1/NEFH/CNTN6/B4GALT6/EPHA3/PLXNA4/STMN1/PRICKLE1/EPHA4/WDR47/NECTIN1/CDKL5/MEGF8/PCDHAC2/AMIGO1/FLRT3/ADCY1/EPHA5/CCK/DSCAM/UNC5D/LMO4/LRTM2/PTPRS/L1CAM/MAP2K2/PLXNA1/TAOK2/RAB3A/SEMA6C/EPHB6/ARHGEF25/KALRN/NRXN1/CNTNAP1/THY1/NEFL/BRSK2/MYCBP2/SPTBN4/TRPC5/DCLK1/GSK3B/AUTS2/ATP8A2/LIMK1/ADGRB1/DCC/LRRC4C/NTNG1/APBB1/EPHB2/MAP6/CYFIP2/RTN4R/OLFM1/GAP43/CHRNB2/BRSK1/CDK5/CDK5R2/RAC3/TRIM46/NRXN3	103
GO:0048167	regulation of synaptic plasticity	65/1537	209/18577	1.07907721075272e-21	4.11294429175362e-19	3.62779642027958e-19	SNCA/STXBP1/SHISA9/GRIK2/BRAF/PPP3CB/SLC24A2/YWHAH/CPLX2/CNTN4/TSHZ3/NEURL1/RIMS3/CYP46A1/SYNGAP1/NPTN/PRKCZ/SNAP25/SYT4/GRM5/CX3CL1/SHANK2/MAP1B/HRAS/MAP1A/DLG4/PRRT2/IQSEC2/RIMS1/GRIN2B/PRKAR1B/EPHA4/ERC2/MEF2C/ADCY1/JPH3/NEUROD2/SLC8A2/YWHAG/KCNQ3/NETO1/SHISA7/LRRTM1/GRIN1/SYT7/RAB3A/SYT12/LARGE1/VGF/STAU2/CPEB3/GRIN2A/SYNGR1/RASGRF1/GSK3B/CAMK2B/KCNB1/ADGRB1/PPFIA3/EPHB2/GRM2/SYP/BRSK1/CDK5/SLC8A3	65
GO:0023061	signal release	105/1537	483/18577	1.40733303442038e-20	4.98095370396642e-18	4.39341861572438e-18	PREPL/SNCA/DOC2A/GABBR1/STXBP1/PRKN/EDN3/BRAF/PPP3CB/SNAP47/NAPB/CHGA/SNPH/CAMK2G/PER2/NAPA/HRH3/VSNL1/CPLX2/RIMS3/GIT1/CHRM3/SLC32A1/SYN1/LIN7B/ABAT/AACS/SNAP25/PNKD/SYT4/DNAJC5/STX1B/CHRNA4/SNCG/KCNJ11/PFN2/SYT15/SLC25A22/PIP5K1C/RASL10B/STXBP5/CDK16/PTPRN/NRXN2/ASIC1/SYNJ1/GNAZ/PORCN/SV2B/PRRT2/CSPG5/RIMS1/RAB11FIP5/ERC2/MEF2C/CACNB4/HTR2A/EPHA5/NOS2/SCG5/C2CD2L/PRKCB/GRM4/ADRA2A/PFKM/FBXL20/NNAT/PRKCE/SYT7/SYT5/CRHR1/RAB3A/SYT12/SYT1/EIPR1/VGF/PINK1/NRXN1/UNC13A/GPR158/SV2A/CADPS/BRSK2/SLC4A8/PLCB1/KCNB1/GPLD1/KCNA2/PTPRN2/PPFIA3/FER1L5/PCLO/SMPD3/GRM2/CHRNB2/SYT13/RPH3A/CPLX1/SYP/BRSK1/CDK5/CRH/ABCC8/SYT3/STX1A	105
