ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0031349	positive regulation of defense response	197/3298	478/18577	4.10916493022755e-34	2.51604168677833e-30	1.65577719504327e-30	OSMR/EMILIN1/MYD88/TNFRSF1A/ALPK1/PARP9/CYBA/COLEC12/PLSCR1/CD14/C3/NOD2/CD300A/HLA-E/SPI1/VAMP8/GBP2/HCK/IFI16/CASP4/NMI/CD81/RBM47/FCGR1A/PIK3AP1/TLR2/IL17RA/IRAK4/IFI35/CTSS/TLR1/TRIM5/GPSM3/GSDMD/S100A9/TRIM56/S100A8/LY96/FPR2/NLRC5/CTSC/NUPR1/BTK/CASP1/TNFAIP3/TLR8/LYN/HAVCR2/LILRA5/IL6/SLC15A3/IKBKE/TGFB1/TNIP2/ALOX5AP/ERBIN/IL33/VAV1/CEBPB/GPR4/CARD8/PLCG2/TYROBP/KCNJ8/NFKBIA/MNDA/TRIM6/TREM2/HLA-F/IRF7/WDFY1/EMILIN2/GRN/CD1D/TLR5/BIRC3/TLR7/NFKBIZ/UNC93B1/NEAT1/TLR10/STING1/IL6ST/STAT5B/NOD1/NECTIN2/FADD/RNF135/CD40/PTGER4/PELI1/PAK2/SYK/CGAS/AGT/LTF/ADORA2B/NLRC4/MAPKAPK2/IL18/LILRA2/TASL/IL1B/MMRN2/ZNFX1/IL15/PIK3CG/IL1RL1/IRAK3/RIGI/IFIH1/PDCD4/RPS19/S100A12/SERPINE1/RELA/RIOK3/CCR7/CLEC7A/IRF1/ZDHHC12/TRPV4/SLC15A4/TLR3/FYN/MAPKAPK3/FFAR2/NAGLU/NLRP6/IL18RAP/NONO/CD226/PYCARD/MMP8/DDX60/LSM14A/LAMP1/BIRC2/TRADD/CASP6/LGR4/NR1H3/TLR6/MFHAS1/VAMP7/DHX9/RIPK2/LDLR/DHX58/HMGB1/CHUK/APPL1/CSNK1A1/ETS1/PTPN22/GBP5/TSPAN6/CLEC4E/PRKDC/NEK7/CCN4/CAV1/NOP53/SCIMP/BCL10/OSM/PLA2G2A/WNT5A/C2CD4B/SIN3A/TRAF6/FOSL1/MGST2/XRCC5/DDX3X/TRIM25/AP3B1/TREML4/SLAMF6/RIPK1/HYAL2/IRF3/FCN1/OTULIN/NKG7/ITCH/STMP1/FABP4/AGTR1/AIM2/TSLP/IRAK2/IL12A/KARS1/NLRP12/TBK1/TNIP1	197
GO:0002237	response to molecule of bacterial origin	164/3298	367/18577	1.51845969344889e-33	4.64876435149377e-30	3.05929668764334e-30	C4B/MAOB/MYD88/SLC11A1/TNFRSF1B/CD14/PLSCR4/B2M/NOD2/CSF2RB/SPI1/GBP2/HCK/CCR5/TSPO/SBNO2/TLR2/IRAK4/GBP3/TLR1/TRIM5/NFKB2/S100A9/LGALS9/S100A8/CXCL2/LY96/LITAF/BTK/CASP1/TNFAIP3/LYN/HAVCR2/IL6/CCL2/LILRB2/CD68/TNIP2/C2/TAB2/ZFP36/ERBIN/LILRB1/CASP8/FZD5/CEBPB/CARD8/RHOA/PLCG2/VIM/KCNJ8/NFKBIA/CXCL10/TRIM6/TREM2/CD180/ADM/ADAM9/CSF3/LY86/CD55/CDK4/JAK2/CXCL5/CD86/C5AR1/SELE/CASP7/NFKBIZ/TLR10/CXCL3/NOS3/VCAM1/FOS/ARID5A/NFKB1/CD40/PTGER4/IL10/PELI1/ABL1/LTF/IL10RA/IL18BP/MAPKAPK2/FGFR2/PDE4B/LILRA2/IL1B/PTAFR/CXCL1/THBD/AHR/IRAK3/IRF8/FCGR2B/PDCD4/ZC3H12A/TAP2/AXL/SERPINE1/RELA/CCR7/GCH1/SELENOS/MAPKAPK3/NAGLU/FOSL2/PTGIR/CXCL8/PYCARD/RPL13A/MMP8/SIGIRR/PTGER1/PCK2/CARD16/IFNAR1/MMP9/NR1H3/TLR6/RIPK2/XBP1/CDC73/IRF5/HMGB1/CHUK/PTPN22/GBP5/CD80/ADH5/BPI/GSTP1/CAPN2/MALT1/SMAD6/RPS6KB1/MAP2K3/SCIMP/BCL10/SLPI/HADHB/PDCD1LG2/PRKCA/CXCL11/WNT5A/CPS1/TRAF6/MGST2/CTR9/ADAM17/CXCL9/IRF3/EDN1/MAPK14/ACP5/AKT1/PRDX3/PCK1/IRAK2/IL12A/ALPL/CHMP5/TNIP1	164
GO:0045785	positive regulation of cell adhesion	195/3298	480/18577	9.15551528115682e-33	1.86864066888411e-29	1.22973026302696e-29	CD44/EMILIN1/ITPKB/ALOX5/ITGB2/IL4R/S100A10/ITGA6/B2M/NOD2/HLA-E/PTPRC/PDPN/CR1/MAP3K8/RUNX1/CD81/BCL6/TGFBR2/PTPN6/CSF1/LIMS1/TMEM102/TGFB2/LGALS9/SASH3/ANXA1/HLA-DRA/CD4/TGM2/ANGPT1/ADGRG1/AIF1/CD74/LAMB2/LYN/NCKAP1L/HAVCR2/IL6/FSTL3/CCL2/PNP/P4HB/LILRB2/HLA-DMA/IL4I1/LILRB1/CCDC80/VAV1/RREB1/RRAS/RHOA/PLAUR/LAMC1/F11R/EBI3/LIF/ITGA5/ADAM9/ITGB3/HLA-DPA1/UNC13D/ACTL6A/LAMA1/FN1/EMILIN2/HLA-DMB/CD55/JAK2/CD1D/CD86/SELE/FERMT2/NFKBIZ/ROCK1/IL2RG/HLA-DOA/EMP2/TNFSF14/IL6ST/STAT5B/APBB1IP/GLI2/SPN/VCAM1/TNFSF13B/ZBTB1/FADD/NRP1/FLNA/NID1/IL10/SYK/CBFB/ITGAV/ZBTB7B/ABL1/CALR/IL18/NPNT/IL1B/PTAFR/IL15/NCK1/SMARCE1/YES1/RASAL3/ARID2/VNN1/DOCK8/HLA-DPB1/DAB2/RELA/PREX1/CCR7/HES1/FYN/DISC1/RSU1/ITGA2/TRIOBP/RIN2/ABI3BP/KDR/ZFHX3/PODXL/PYCARD/SMARCD2/ERBB2/RPS3/HLA-DQA1/HLA-DQA2/SELENOK/PHF10/RUNX3/IL12RB1/UTRN/EFEMP2/PIEZO1/CIB1/HLX/DENND6A/MMRN1/RIPK2/XBP1/CCN1/CD46/ATM/HMGB1/ETS1/PTPN22/SHB/CD80/SMARCC1/BTN2A2/ST3GAL4/MALT1/CAV1/BCL10/COL8A1/HLA-DRB1/PDCD1LG2/GCNT2/PRKCA/PBRM1/WNT5A/CLECL1P/ILK/RHOH/HLA-A/IFT74/TRAF6/PLEKHA2/FOXF1/ECM2/EFNB1/IL7R/TJP1/AP3B1/PIK3R6/CD209/STK4/JUP/SFRP2/EGFLAM/RHOD/AKT1/PCK1/SOCS1/HAS2/IL12A/HSD17B12/RNASE10/ICOSLG/FOXC2	195
GO:0001819	positive regulation of cytokine production	200/3298	499/18577	1.25287288109047e-32	1.91783516272924e-29	1.26210457600377e-29	STAT3/MYD88/TMED10/CYBA/FCGR3A/SLC11A1/IL4R/CD14/C3/B2M/NOD2/FCER1G/HLA-E/PTPRC/F3/IFI16/RUNX1/CD81/HILPDA/RBM47/TLR2/IL17RA/TLR1/GPSM3/GSDMD/LGALS9/CHI3L1/TRIM56/IL1R1/LY96/SASH3/ANXA1/NFAM1/CD4/BTK/HGF/CASP1/AIF1/LAPTM5/CD74/TLR8/HAVCR2/LILRA5/IL6/IKBKE/TGFB1/PNP/LILRB2/CYBB/CD58/LILRB1/IL33/CASP8/FZD5/CEBPB/BCL3/CARD8/ZC3HAV1/CLU/PLCG2/TYROBP/EBI3/HMOX1/FGR/BATF/IL6R/TRIM6/TREM2/HLA-F/IFNGR1/IRF7/HLA-DPA1/ARRDC4/CD55/HIF1A/JAK2/TLR5/CD86/C5AR1/G3BP1/TMEM106A/CYP1B1/TLR7/UNC93B1/H19/BTN3A2/STING1/C3AR1/IL18R1/IL6ST/STAT5B/NOD1/TNFRSF8/BTN3A1/SPN/ARID5A/FADD/RNF135/CD40/PTGER4/IL10/PELI1/SYK/CGAS/DDX21/AGT/ZBTB7B/ABL1/ADORA2B/NLRC4/MAPKAPK2/IL18/TNXB/PDE4B/LILRA2/IL1B/PTAFR/IL15/PIK3CG/TANK/IL1RL1/IRAK3/IRF8/RIGI/THBS1/IFIH1/SIRT1/RAD21/STAT1/HLA-DPB1/SERPINE1/RELA/RIOK3/CCR7/CLEC7A/IRF1/BMPR1A/TRPV4/TLR3/IL17RC/FFAR2/FRMD8/CD226/PYCARD/CLEC5A/MMP8/BRCA1/TRIM65/ARNT/RPS3/SELENOK/SPHK1/IL12RB1/SULF1/TLR6/DHX9/RIPK2/XBP1/TMF1/CD46/IRF5/DHX58/HMGB1/CHUK/APPL1/EIF2AK3/PTPN22/GBP5/CD80/CSF1R/CLEC4E/MALT1/SCIMP/BCL10/OSM/WNT5A/CLECL1P/HPSE/CD84/HLA-A/TRAF6/DDX3X/ADAM17/NFATC4/SLAMF6/RIPK1/HYAL2/IRF3/OAS2/FCN1/MAPK14/STMP1/AIM2/TSLP/LUM/C1QTNF3/IL12A/NLRP12/TBK1/TRAF3IP3	200
GO:0032496	response to lipopolysaccharide	153/3298	346/18577	9.83471263601814e-31	1.20435890940678e-27	7.92574315172157e-28	MAOB/MYD88/SLC11A1/TNFRSF1B/CD14/PLSCR4/NOD2/CSF2RB/SPI1/GBP2/HCK/CCR5/TSPO/SBNO2/TLR2/IRAK4/GBP3/TRIM5/NFKB2/S100A9/LGALS9/S100A8/CXCL2/LY96/LITAF/BTK/CASP1/TNFAIP3/LYN/HAVCR2/IL6/CCL2/LILRB2/CD68/TNIP2/C2/TAB2/ZFP36/ERBIN/LILRB1/CASP8/CEBPB/CARD8/RHOA/PLCG2/VIM/KCNJ8/NFKBIA/CXCL10/TRIM6/TREM2/CD180/ADM/ADAM9/CSF3/LY86/CD55/CDK4/JAK2/CXCL5/CD86/SELE/CASP7/NFKBIZ/CXCL3/NOS3/VCAM1/FOS/ARID5A/NFKB1/CD40/PTGER4/IL10/PELI1/ABL1/LTF/IL10RA/IL18BP/MAPKAPK2/FGFR2/PDE4B/LILRA2/IL1B/PTAFR/CXCL1/THBD/IRAK3/IRF8/PDCD4/ZC3H12A/AXL/SERPINE1/RELA/CCR7/GCH1/SELENOS/MAPKAPK3/NAGLU/FOSL2/PTGIR/CXCL8/PYCARD/RPL13A/MMP8/SIGIRR/PTGER1/PCK2/CARD16/IFNAR1/MMP9/NR1H3/RIPK2/XBP1/CDC73/HMGB1/CHUK/PTPN22/GBP5/CD80/ADH5/BPI/GSTP1/CAPN2/MALT1/SMAD6/RPS6KB1/MAP2K3/SCIMP/BCL10/SLPI/HADHB/PDCD1LG2/PRKCA/CXCL11/WNT5A/CPS1/TRAF6/MGST2/CTR9/ADAM17/CXCL9/IRF3/EDN1/MAPK14/ACP5/AKT1/PRDX3/PCK1/IRAK2/IL12A/ALPL/CHMP5/TNIP1	153
GO:0002274	myeloid leukocyte activation	119/3298	241/18577	1.56815736840085e-29	1.60030459445307e-26	1.05314147477868e-26	MYD88/LTBR/FCGR3A/PLSCR1/ITGB2/SLC11A1/IL4R/CD93/ADGRE2/FCER1G/C1QA/CD300A/SPI1/VAMP8/PTPRC/VSIG4/RAC2/NMI/TGFBR2/PTPN6/SBNO2/CSF1/TLR2/HAMP/IFI35/TLR1/LGALS9/STXBP2/ANXA1/CTSC/DOCK2/BTK/AIF1/LAT2/CD74/LYN/HAVCR2/IL6/TNIP2/IL33/FES/SNAP23/CLU/PLCG2/TYROBP/KCNJ8/FGR/BATF/TREM2/ADAM9/IFNGR1/TRAF3IP2/ADAM10/UNC13D/FN1/GRN/JAK2/C5AR1/BATF2/TMEM106A/PRAM1/CD33/PLA2G4A/NECTIN2/LCP2/IL10/SYK/RBPJ/ADORA2B/ITGAM/IFNGR2/IL18/STXBP3/LILRA2/PTAFR/IL15/PIK3CG/IL1RL1/FCGR2B/THBS1/ZC3H12A/S100A12/NDRG1/MILR1/PREX1/RELB/TLR3/CD177/PTGDS/NAGLU/IL18RAP/CD226/CXCL8/PYCARD/MMP8/SPHK1/NR1H3/CRTC3/TLR6/MFHAS1/VAMP7/ITGB8/ATM/LDLR/HMGB1/CST7/BPI/PLA2G2A/WNT5A/RHOH/CD84/TRAF6/FOXF1/UBD/HYAL2/ANXA3/CXCR2/TSLP/KARS1	119
GO:0045088	regulation of innate immune response	172/3298	423/18577	4.67176815164941e-29	4.08646234179276e-26	2.68925240368631e-26	MYD88/ALPK1/PARP9/CYBA/COLEC12/SERPING1/PLSCR1/CD14/SLAMF8/NOD2/CD300A/HLA-E/SPI1/VSIG4/GBP2/HCK/CR1/IFI16/NMI/RBM47/PTPN6/PIK3AP1/TLR2/IRAK4/IFI35/CTSS/TLR1/TRIM5/LGALS9/TRIM56/LY96/FPR2/NLRC5/BTK/CASP1/TNFAIP3/CFH/TLR8/LYN/HAVCR2/SLC15A3/IKBKE/TGFB1/TNIP2/PARP14/ERBIN/LILRB1/TRIM21/CASP8/VAV1/CARD8/PLCG2/TYROBP/KCNJ8/FGR/NFKBIA/MNDA/TRIM6/TREM2/HLA-F/IRF7/WDFY1/GRN/CD1D/TLR5/BIRC3/TLR7/HLA-B/NFKBIZ/SAMHD1/UNC93B1/TLR10/STING1/STAT5B/NOD1/NFE2L2/NCF1/NECTIN2/FADD/RNF135/CD40/PELI1/PAK2/SYK/STAT2/CGAS/LTF/ERAP1/NLRC4/TRAFD1/MAPKAPK2/LILRA2/TASL/ZNFX1/IRAK3/RIGI/FCGR2B/IFIH1/RPS19/RELA/RIOK3/CLEC7A/IRF1/ZDHHC12/SLC15A4/TLR3/PTPN1/FYN/MAPKAPK3/FFAR2/NAGLU/NLRP6/IL18RAP/NONO/CD226/PYCARD/PTPN2/DDX60/LSM14A/LAMP1/AURKB/BIRC2/CASP6/LGR4/A2M/NR1H3/TLR6/MFHAS1/DHX9/RIPK2/DHX58/HMGB1/CHUK/APPL1/LYAR/CSNK1A1/PTPN22/GBP5/TSPAN6/CLEC4E/PRKDC/NEK7/CAV1/NOP53/SCIMP/BCL10/PCBP2/WNT5A/HLA-A/SIN3A/TRAF6/FOSL1/XRCC5/DDX3X/TRIM25/AP3B1/TREML4/PIK3R6/SLAMF6/USP38/IRF3/FCN1/ATG12/OTULIN/ITCH/STMP1/AIM2/AKT1/IRAK2/IL12A/TBK1/TNIP1	172
GO:0050867	positive regulation of cell activation	162/3298	394/18577	4.52151917632464e-28	3.46065773957947e-25	2.27741781670667e-25	MYD88/ITPKB/FCGR3A/ITGB2/IL4R/B2M/NOD2/HLA-E/SPI1/VAMP8/PTPRC/CR1/MMP14/MAP3K8/RUNX1/CD81/BCL6/TGFBR2/PTPN6/HAMP/LGALS9/SASH3/ANXA1/CTSC/HLA-DRA/CD4/BTK/RPS6KA1/AIF1/CD74/LYN/NCKAP1L/HAVCR2/LILRA5/IL6/CCL2/TGFB1/PNP/LILRB2/PLEK/CDKN1A/TNIP2/HLA-DMA/IL4I1/LILRB1/IL33/VAV1/RHOA/TYROBP/EBI3/FGR/DDR2/TREM2/HLA-F/HLA-DPA1/ACTL6A/HLA-DMB/CD55/JAK2/CD1D/CD86/NFKBIZ/IL2RG/IL15RA/HLA-DOA/TNFSF14/INPP5D/IL6ST/STAT5B/GLI2/PLA2G4A/NECTIN2/SPN/VCAM1/TNFSF13B/ZBTB1/FADD/MAD2L2/FLNA/CD40/IL10/PELI1/SYK/CBFB/ZBTB7B/ABL1/ADORA2B/ITGAM/IL18/LILRA2/IL1B/PTAFR/IL15/NCK1/SMARCE1/IL1RL1/THBS1/YES1/RASAL3/ARID2/VNN1/DOCK8/AXL/HLA-DPB1/GPR183/CCR7/CLEC7A/NFATC2/HES1/CD177/FYN/CD226/PYCARD/RIF1/SMARCD2/MMP8/RPS3/HLA-DQA1/HLA-DQA2/LAMP1/SELENOK/PHF10/RUNX3/IL12RB1/TLR6/HLX/VAMP7/RIPK2/XBP1/CD46/HMGB1/PTPN22/SHB/CD80/SMARCC1/BTN2A2/PRKDC/MALT1/CAV1/BCL10/HLA-DRB1/PDCD1LG2/PBRM1/WNT5A/CLECL1P/RHOH/HLA-A/TRAF6/BST1/EFNB1/IL7R/AP3B1/PIK3R6/CD209/BLOC1S6/TSLP/AKT1/PCK1/SOCS1/IL12A/KARS1/ICOSLG	162
GO:0002696	positive regulation of leukocyte activation	156/3298	378/18577	2.79852328334909e-27	1.90392867377183e-24	1.25295288054507e-24	MYD88/ITPKB/FCGR3A/ITGB2/IL4R/B2M/NOD2/HLA-E/SPI1/VAMP8/PTPRC/CR1/MMP14/MAP3K8/RUNX1/CD81/BCL6/TGFBR2/PTPN6/HAMP/LGALS9/SASH3/ANXA1/CTSC/HLA-DRA/CD4/BTK/AIF1/CD74/LYN/NCKAP1L/HAVCR2/IL6/CCL2/TGFB1/PNP/LILRB2/CDKN1A/TNIP2/HLA-DMA/IL4I1/LILRB1/IL33/VAV1/RHOA/TYROBP/EBI3/FGR/TREM2/HLA-F/HLA-DPA1/ACTL6A/HLA-DMB/CD55/JAK2/CD1D/CD86/NFKBIZ/IL2RG/IL15RA/HLA-DOA/TNFSF14/INPP5D/IL6ST/STAT5B/GLI2/PLA2G4A/NECTIN2/SPN/VCAM1/TNFSF13B/ZBTB1/FADD/MAD2L2/CD40/IL10/PELI1/SYK/CBFB/ZBTB7B/ABL1/ADORA2B/ITGAM/IL18/IL1B/PTAFR/IL15/NCK1/SMARCE1/IL1RL1/THBS1/YES1/RASAL3/ARID2/VNN1/DOCK8/AXL/HLA-DPB1/GPR183/CCR7/CLEC7A/NFATC2/HES1/CD177/FYN/CD226/PYCARD/RIF1/SMARCD2/MMP8/RPS3/HLA-DQA1/HLA-DQA2/LAMP1/SELENOK/PHF10/RUNX3/IL12RB1/TLR6/HLX/VAMP7/RIPK2/XBP1/CD46/HMGB1/PTPN22/SHB/CD80/SMARCC1/BTN2A2/PRKDC/MALT1/CAV1/BCL10/HLA-DRB1/PDCD1LG2/PBRM1/WNT5A/CLECL1P/RHOH/HLA-A/TRAF6/BST1/EFNB1/IL7R/AP3B1/PIK3R6/CD209/BLOC1S6/TSLP/AKT1/PCK1/SOCS1/IL12A/KARS1/ICOSLG	156
GO:0002764	immune response-regulating signaling pathway	187/3298	492/18577	3.63736335441487e-27	2.07019806187912e-24	1.36237279298474e-24	MYD88/ALPK1/CYBA/FCGR3A/COLEC12/PLSCR1/CD14/NOD2/FCER1G/CD300A/FPR1/PTPRC/GBP2/HCK/CR1/NMI/FYB1/CD81/MYO1G/GBP1/FCGR1A/PTPN6/PIK3AP1/TLR2/IRAK4/IFI35/CTSS/TLR1/LY96/FPR2/ELF1/NFAM1/PLD2/CMTM3/LGALS3/BTK/CASP1/TNFAIP3/LAPTM5/LAT2/TLR8/LYN/NCKAP1L/HAVCR2/SLC15A3/LILRB2/TNIP2/ERBIN/LILRB1/VAV1/CARD8/PLCG2/TYROBP/KCNJ8/FGR/NFKBIA/MNDA/IGHG4/TREM2/IRF7/WDFY1/TLR5/C5AR1/BIRC3/PRAM1/TLR7/NFKBIZ/UNC93B1/RAB29/TLR10/BTN3A2/STING1/INPP5D/C3AR1/NOD1/BTN3A1/CD33/SPG21/NECTIN2/NFKB1/RNF135/LCP2/CD40/PELI1/PAK2/SYK/CGAS/ABL1/LTF/NLRC4/MAPKAPK2/LIPA/PDE4B/LILRA2/TASL/PRKCH/IRAK3/RIGI/FCGR2B/YES1/IFIH1/ZC3H12A/HLA-DPB1/RELA/RIOK3/CCR7/CLEC7A/IGHG1/FPR3/IRF1/NFATC2/ZDHHC12/SLC15A4/TLR3/KLHL6/MAP3K1/RBCK1/FYN/MAPKAPK3/FFAR2/NAGLU/FOSL2/NLRP6/THEMIS2/IGHG2/CD226/PYCARD/CMKLR1/PTPN2/DDX60/RPS3/LSM14A/GRB2/BIRC2/BAX/LGR4/NR1H3/TLR6/MFHAS1/PLPP4/CD79B/RIPK2/DHX58/HMGB1/CHUK/APPL1/CSNK1A1/PTPN22/SHB/IGHG3/GBP5/TSPAN6/CLEC4E/BTN2A2/NEK7/MALT1/CAV1/NOP53/SCIMP/BCL10/HLA-DRB1/HLA-A/TRAF6/FOSL1/CTSH/BTN3A3/BMX/DDX3X/TRIM25/AP3B1/TREML4/IGHA1/PAWR/C5AR2/IRF3/FCN1/OTULIN/ITCH/STMP1/AIM2/EZR/IRAK2/MICB/ERMAP/ICOSLG/TBK1/TNIP1	187
