ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0007409	axonogenesis	24/255	389/13919	2.07504572338861e-07	0.000521409126322497	0.000468380972201056	ETV1/PAX6/CYFIP2/FGFR2/ADNP/BMP7/MEGF8/GLI3/LHX2/NR2E1/EFNB2/EPHB2/NOTCH2/LRP4/NOTCH1/PAK1/DPYSL5/NTNG1/APBB1/KIF5C/NPTX1/FBXO45/TRAK1/ROBO2	24
GO:0021987	cerebral cortex development	13/255	121/13919	3.26697447570487e-07	0.000521409126322497	0.000468380972201056	PAX6/PALS1/GLI3/LHX2/NR2E1/AKIRIN2/EMX1/LRP8/CTNNB1/FBXO45/KCNA2/H2AX/NOTCH2NLA	13
GO:0071805	potassium ion transmembrane transport	15/255	176/13919	8.39961731520525e-07	0.000893719282337838	0.00080282658128488	KCNG1/NEDD4L/KCNQ2/SLC17A6/SLC17A7/KCNN1/KCNH3/KCNMB4/SLC24A2/KCNJ4/KCNA2/KCNJ10/KCNQ3/STK39/VAMP2	15
GO:0061564	axon development	24/255	443/13919	2.13053723569235e-06	0.0017001687140825	0.00152725879737526	ETV1/PAX6/CYFIP2/FGFR2/ADNP/BMP7/MEGF8/GLI3/LHX2/NR2E1/EFNB2/EPHB2/NOTCH2/LRP4/NOTCH1/PAK1/DPYSL5/NTNG1/APBB1/KIF5C/NPTX1/FBXO45/TRAK1/ROBO2	24
GO:0030900	forebrain development	21/255	359/13919	2.88613947987809e-06	0.00184105547107523	0.00165381714259627	PAX6/WDR37/FGFR2/PALS1/GLI3/LHX2/NR2E1/OTX1/EPHB2/AKIRIN2/EMX1/NOTCH1/LRP8/INHBB/CTNNB1/FBXO45/KCNA2/SSTR2/ROBO2/H2AX/NOTCH2NLA	21
GO:0006813	potassium ion transport	15/255	197/13919	3.46063058472788e-06	0.00184105547107523	0.00165381714259627	KCNG1/NEDD4L/KCNQ2/SLC17A6/SLC17A7/KCNN1/KCNH3/KCNMB4/SLC24A2/KCNJ4/KCNA2/KCNJ10/KCNQ3/STK39/VAMP2	15
GO:0007405	neuroblast proliferation	9/255	74/13919	7.89977206449447e-06	0.00360229606140948	0.00323593670732074	PAX6/FGFR2/GLI3/NR2E1/ARHGEF2/DAGLA/HAPLN1/NOTCH1/CTNNB1	9
GO:0050769	positive regulation of neurogenesis	15/255	215/13919	1.00418653641966e-05	0.00400670428031443	0.00359921595421993	PAX6/PRMT5/ADNP/MEGF8/GLI3/NR2E1/RNF112/EPHB2/HAPLN1/TTBK1/NOTCH1/LRP8/CTNNB1/TRAK1/ROBO2	15
GO:0021675	nerve development	9/255	78/13919	1.22303210228473e-05	0.00433768718943652	0.00389653736447206	GLI3/PRKCG/EPHB2/CTNNB1/NPTX1/FBXO45/KCNA2/KCNQ3/GABRA5	9
GO:0021537	telencephalon development	16/255	254/13919	1.83248753438116e-05	0.00450834698938936	0.00404984078587806	PAX6/WDR37/PALS1/GLI3/LHX2/NR2E1/EPHB2/AKIRIN2/EMX1/LRP8/CTNNB1/FBXO45/KCNA2/ROBO2/H2AX/NOTCH2NLA	16
