ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0002252	immune effector process	48/354	453/13919	2.69712054664019e-17	9.56668657893277e-14	7.75067272876603e-14	TYROBP/SLC11A1/CD74/TNFRSF1B/SBNO2/IFI35/PVR/STXBP2/PTPRC/CD59/ICAM1/HCK/JAK3/PTGDS/CTSC/C7/BCL6/IL1R1/NCKAP1L/FGL2/RAC2/PRAM1/DOCK2/ANXA1/HAVCR2/CD36/MYO1G/LYST/SERPING1/MR1/C1QC/C1R/ITGB2/IL6R/PTGDR/STAT3/C1QB/C1QA/C1S/SOCS3/PLCG2/CR1/HLA-DRA/HLA-E/CFI/C4B/HLA-DMB/CFB	48
GO:0002250	adaptive immune response	38/354	322/13919	2.17337971654034e-15	3.85448892728429e-12	3.12280348745006e-12	CD4/SLC11A1/CD74/TNFRSF1B/PVR/PTPRC/ICAM1/LILRB5/JAK3/CTSC/C7/BCL6/IL1R1/NCKAP1L/LILRB2/ANXA1/CTSL/HAVCR2/MYO1G/TNFRSF11A/SERPING1/MR1/C1QC/C1R/IL6R/LAIR1/STAT3/KLHL6/C1QB/C1QA/C1S/SOCS3/CR1/HLA-DRA/HLA-E/CFI/C4B/HLA-DMB	38
GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	32/354	230/13919	3.70434270530432e-15	4.37976785857147e-12	3.54837038087045e-12	CD4/SLC11A1/CD74/TNFRSF1B/PVR/PTPRC/ICAM1/JAK3/CTSC/C7/BCL6/IL1R1/NCKAP1L/ANXA1/HAVCR2/MYO1G/SERPING1/MR1/C1QC/C1R/IL6R/STAT3/KLHL6/C1QB/C1QA/C1S/SOCS3/CR1/HLA-DRA/HLA-E/CFI/C4B	32
GO:0002443	leukocyte mediated immunity	34/354	287/13919	6.31301166593283e-14	5.59806309476594e-11	4.5354004863149e-11	TYROBP/CD74/TNFRSF1B/PVR/STXBP2/PTPRC/ICAM1/JAK3/PTGDS/CTSC/C7/BCL6/IL1R1/NCKAP1L/RAC2/PRAM1/HAVCR2/MYO1G/LYST/SERPING1/MR1/C1QC/C1R/ITGB2/PTGDR/C1QB/C1QA/C1S/PLCG2/CR1/HLA-DRA/HLA-E/CFI/C4B	34
GO:0050900	leukocyte migration	32/354	288/13919	2.09379790366143e-12	1.48534023285742e-09	1.20338279515699e-09	ITGA3/SELE/CD74/B4GALT1/ICAM1/HMOX1/RIN3/HCK/CCL2/TRPV4/IL1R1/CSF3R/NCKAP1L/RAC2/MTUS1/LYVE1/C5AR2/ANXA1/MYO1G/CH25H/TNFRSF11A/LYST/EPS8/ITGB2/IL6R/RET/CXCL8/C3AR1/IL16/ANO6/CSF1/C5AR1	32
GO:0002366	leukocyte activation involved in immune response	27/354	216/13919	7.59486303576498e-12	4.48982986464306e-09	3.63753966449796e-09	TYROBP/SLC11A1/CD74/SBNO2/IFI35/STXBP2/PTPRC/ICAM1/JAK3/PTGDS/BCL6/NCKAP1L/FGL2/RAC2/PRAM1/DOCK2/ANXA1/HAVCR2/ITGB2/IL6R/PTGDR/STAT3/SOCS3/PLCG2/CR1/HLA-DRA/HLA-DMB	27
GO:0002263	cell activation involved in immune response	27/354	220/13919	1.17356602838007e-11	5.94662671809158e-09	4.81779737966555e-09	TYROBP/SLC11A1/CD74/SBNO2/IFI35/STXBP2/PTPRC/ICAM1/JAK3/PTGDS/BCL6/NCKAP1L/FGL2/RAC2/PRAM1/DOCK2/ANXA1/HAVCR2/ITGB2/IL6R/PTGDR/STAT3/SOCS3/PLCG2/CR1/HLA-DRA/HLA-DMB	27
GO:0006956	complement activation	12/354	35/13919	3.00035236868944e-11	1.33028123146768e-08	1.07775815348976e-08	CD59/C7/SERPING1/C1QC/C1R/C1QB/C1QA/C1S/CR1/CFI/C4B/CFB	12
GO:0002274	myeloid leukocyte activation	23/354	170/13919	5.60900501654865e-11	2.21057119929978e-08	1.79094546142431e-08	TYROBP/SLC11A1/CD74/SBNO2/IFI35/STXBP2/PTPRC/PTGDS/CTSC/LTBR/RAC2/PRAM1/DOCK2/ANXA1/HAVCR2/TLR2/ITGB2/PTGDR/CXCL8/C1QA/CSF1/C5AR1/PLCG2	23
GO:0050727	regulation of inflammatory response	29/354	275/13919	8.51671150401924e-11	3.02087757047562e-08	2.44743393747079e-08	SELE/TNFRSF1B/SBNO2/TNFRSF1A/IFI35/PTPRC/MGST2/NFKBIA/HCK/CCN4/CTSC/MVK/TRPV4/BCL6/IL1R1/ZFP36/RHBDF2/ANXA1/TLR2/TNFRSF11A/OSMR/ADAMTS12/STAT3/CEBPB/IL16/NUPR1/SOCS3/PLCG2/HLA-E	29
GO:0002449	lymphocyte mediated immunity	25/354	207/13919	9.87676762855452e-11	3.18480861622572e-08	2.58024647138314e-08	CD74/TNFRSF1B/PVR/PTPRC/ICAM1/CTSC/C7/BCL6/IL1R1/NCKAP1L/HAVCR2/MYO1G/LYST/SERPING1/MR1/C1QC/C1R/C1QB/C1QA/C1S/CR1/HLA-DRA/HLA-E/CFI/C4B	25
GO:0006958	complement activation, classical pathway	10/354	24/13919	1.4257252123251e-10	4.05007165549739e-08	3.28125936506992e-08	C7/SERPING1/C1QC/C1R/C1QB/C1QA/C1S/CR1/CFI/C4B	10
GO:0002253	activation of immune response	35/354	398/13919	1.48437923657925e-10	4.05007165549739e-08	3.28125936506992e-08	TYROBP/IFI35/PTPRC/CD59/NFKBIA/NFATC2/HCK/C7/GBP1/NCKAP1L/THEMIS2/PRAM1/C5AR2/HAVCR2/CD36/MYO1G/TLR2/SERPING1/COLEC12/C1QC/C1R/CD14/FPR1/C3AR1/KLHL6/C1QB/C1QA/C1S/TLR5/C5AR1/PLCG2/CR1/CFI/C4B/CFB	35
GO:0002455	humoral immune response mediated by circulating immunoglobulin	11/354	33/13919	2.8935377273048e-10	7.33098451339295e-08	5.93936691394144e-08	PTPRC/C7/SERPING1/C1QC/C1R/C1QB/C1QA/C1S/CR1/CFI/C4B	11
