ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0006260	DNA replication	51/1154	263/13919	7.43703585005687e-09	2.01798388658563e-05	1.91289766303683e-05	DBF4/WIZ/BRCA1/POLQ/POLD1/MCM10/MAP2K4/POLB/MCM2/GLI2/ORC1/ORC6/CDC45/CDC6/GINS1/RBBP8/RNASEH2A/GRWD1/TWNK/RFC5/MCM9/FBXO5/MCM3/ZRANB3/MCM8/E2F8/TERF2/PCNA/RFC3/EGF/PIF1/TICRR/DTL/PRIM2/MMS22L/GINS4/CHEK1/TBRG1/PTMS/TONSL/RECQL4/CHAF1A/FEN1/INO80E/NFRKB/ESCO2/GEN1/ALYREF/FAM111B/EHMT2/DACH1	51
GO:0021987	cerebral cortex development	31/1154	121/13919	8.94330835295324e-09	2.01798388658563e-05	1.91289766303683e-05	PAX6/TACC3/PALS1/WDR62/PTPRS/GLI3/LHX2/ZMIZ1/NR2E1/NPY/MKKS/AKIRIN2/EMX1/TRA2B/ASCL1/DMRTA2/DIXDC1/LRP8/CDK5/CTNNB1/EMX2/CDH2/FBXO45/KCNA2/PLCB1/H2AX/ADGRG1/CCDC85C/NOTCH2NLA/NOTCH2NLB/NOTCH2NLC	31
GO:0021537	telencephalon development	49/1154	254/13919	1.74436792487821e-08	2.01798388658563e-05	1.91289766303683e-05	PAX6/TACC3/RTN4R/WDR37/PALS1/WDR62/ATG16L1/SALL1/PTPRS/CDK6/GLI3/LHX2/ZMIZ1/SLC1A2/NR2E1/SRF/ID2/NPY/MKKS/BCAN/EPHB2/AKIRIN2/EMX1/TRA2B/ASCL1/DMRTA2/DIXDC1/FEZF2/LRP8/CASP3/CDK5/CTNNB1/EMX2/CDH2/ZDHHC16/ID4/FBXO45/KCNA2/EPHB3/PLCB1/SCN5A/ROBO2/H2AX/HES5/ADGRG1/CCDC85C/NOTCH2NLA/NOTCH2NLB/NOTCH2NLC	49
GO:0050804	modulation of chemical synaptic transmission	70/1154	428/13919	2.39525830943848e-08	2.01798388658563e-05	1.91289766303683e-05	CX3CL1/RASGRF1/LZTS1/CAMK2A/SLC1A3/DLGAP4/MAPK1/PICK1/ADNP/VPS18/PTPRS/GRIK5/CRHR2/APBA1/PPP3CB/NMU/NR2E1/SRF/RASGRF2/CSPG5/OTOF/SLC8A2/PHF24/GIPC1/PRKCG/HIP1/YWHAH/ATF4/VGF/LRRC4/DLG4/PTPRA/SYT11/EPHB2/KCNMB4/ITPKA/CACNG8/HOMER1/SLC24A2/LRP8/PINK1/BRSK1/CHRNB2/TBC1D24/NTNG1/CDK5/MAP1A/FAM107A/DRD5/YWHAG/CDH2/GRIK1/CLSTN1/SNCG/FBXO45/HRAS/CHRNA7/KCNJ10/AKAP5/PLCB1/GRIN2A/KCNQ3/SEPTIN5/PRKN/BACE1/NTNG2/ARC/GRIN3A/CPLX3/VAMP2	70
GO:0099177	regulation of trans-synaptic signaling	70/1154	429/13919	2.63803087172882e-08	2.01798388658563e-05	1.91289766303683e-05	CX3CL1/RASGRF1/LZTS1/CAMK2A/SLC1A3/DLGAP4/MAPK1/PICK1/ADNP/VPS18/PTPRS/GRIK5/CRHR2/APBA1/PPP3CB/NMU/NR2E1/SRF/RASGRF2/CSPG5/OTOF/SLC8A2/PHF24/GIPC1/PRKCG/HIP1/YWHAH/ATF4/VGF/LRRC4/DLG4/PTPRA/SYT11/EPHB2/KCNMB4/ITPKA/CACNG8/HOMER1/SLC24A2/LRP8/PINK1/BRSK1/CHRNB2/TBC1D24/NTNG1/CDK5/MAP1A/FAM107A/DRD5/YWHAG/CDH2/GRIK1/CLSTN1/SNCG/FBXO45/HRAS/CHRNA7/KCNJ10/AKAP5/PLCB1/GRIN2A/KCNQ3/SEPTIN5/PRKN/BACE1/NTNG2/ARC/GRIN3A/CPLX3/VAMP2	70
GO:0021543	pallium development	38/1154	175/13919	2.75268361572819e-08	2.01798388658563e-05	1.91289766303683e-05	PAX6/TACC3/PALS1/WDR62/ATG16L1/PTPRS/CDK6/GLI3/LHX2/ZMIZ1/NR2E1/SRF/NPY/MKKS/BCAN/AKIRIN2/EMX1/TRA2B/ASCL1/DMRTA2/DIXDC1/FEZF2/LRP8/CASP3/CDK5/CTNNB1/EMX2/CDH2/ID4/FBXO45/KCNA2/PLCB1/H2AX/ADGRG1/CCDC85C/NOTCH2NLA/NOTCH2NLB/NOTCH2NLC	38
GO:0006261	DNA-templated DNA replication	35/1154	154/13919	2.87345142516261e-08	2.01798388658563e-05	1.91289766303683e-05	DBF4/WIZ/BRCA1/POLQ/POLD1/MCM10/POLB/MCM2/ORC1/ORC6/CDC45/CDC6/GINS1/RBBP8/TWNK/RFC5/MCM9/FBXO5/MCM3/ZRANB3/MCM8/E2F8/TERF2/PCNA/RFC3/TICRR/PRIM2/MMS22L/GINS4/TONSL/RECQL4/FEN1/GEN1/ALYREF/DACH1	35
GO:0030900	forebrain development	59/1154	359/13919	2.58668018111272e-07	0.000158951497129377	0.000150674120549816	PAX6/TACC3/RTN4R/WDR37/FGFR2/PALS1/GLI2/WDR62/ATG16L1/E2F1/SALL1/APLP1/PTPRS/CDK6/GLI3/LHX2/ZMIZ1/SLC1A2/NR2E1/SRF/OTX1/ID2/NPY/MKKS/BCAN/EPHB2/AKIRIN2/EMX1/TRA2B/ASCL1/DMRTA2/NOTCH1/DIXDC1/FEZF2/LRP8/CHRNB2/INHBB/CASP3/CDK5/CTNNB1/EMX2/CDH2/ZDHHC16/ID4/FBXO45/KCNA2/SSTR2/NEUROG1/EPHB3/PLCB1/SCN5A/ROBO2/H2AX/HES5/ADGRG1/CCDC85C/NOTCH2NLA/NOTCH2NLB/NOTCH2NLC	59
GO:0061564	axon development	67/1154	443/13919	9.41745941709874e-07	0.000514402561049527	0.000487615120929779	PLXND1/ETV1/IFRD1/PAX6/RTN4R/TNC/CYFIP2/FGFR2/MARK2/GLI2/ACTB/PLXNA2/MAP2/SEMA5B/MT3/ADNP/BMP7/APLP1/PTPRS/MEGF8/EPHB6/GLI3/LHX2/PPP3CB/EIF4G2/NECTIN1/NR2E1/SRF/CSPG5/TTL/NEUROD4/EFNB2/BHLHE23/PALLD/OLFM1/EPHB2/NOTCH2/LRP4/NOTCH1/PAK1/FEZF2/NCAM2/KIF5A/DPYSL5/BRSK1/CHRNB2/TBC1D24/NTNG1/CASP3/CDK5/GBX1/LRTM2/APBB1/MAP1A/KIF5C/CDH2/NPTX1/FBXO45/BRSK2/AMIGO1/NEUROG1/EPHB3/TRAK1/ROBO2/SEMA4D/NTNG2/DHFR	67
GO:0048167	regulation of synaptic plasticity	35/1154	184/13919	2.64406008985642e-06	0.00129981994017342	0.00123213200187309	CX3CL1/RASGRF1/LZTS1/CAMK2A/MAPK1/PICK1/CRHR2/PPP3CB/NR2E1/SRF/RASGRF2/SLC8A2/GIPC1/PRKCG/YWHAH/ATF4/VGF/DLG4/EPHB2/ITPKA/SLC24A2/BRSK1/CDK5/MAP1A/FAM107A/DRD5/YWHAG/HRAS/CHRNA7/KCNJ10/AKAP5/GRIN2A/KCNQ3/ARC/VAMP2	35
