ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0002252	immune effector process	98/1119	453/13919	3.28659352044776e-20	1.63146502355027e-16	1.26897105610552e-16	FGR/CFH/ITGAL/TYROBP/ERCC1/SLC11A1/CD74/TNFRSF1B/SBNO2/SPI1/IFI35/BCL3/PVR/STXBP2/IL4R/PTPRC/CD59/LAT2/ICAM1/CSF2RB/HCK/IL4I1/LILRB1/JAK3/NOD1/PTGDS/CTSC/TCIRG1/PTPN6/C7/BCL6/WNT5A/IL1R1/MPL/VAMP8/TWIST1/NCKAP1L/LRP1/IL1B/ADGRE2/FGL2/RAC2/PRAM1/RSAD2/DOCK2/ANXA1/HAVCR2/CD36/DOCK10/APPL2/LCP1/MYO1G/HLX/VAV1/LYST/NFKBIZ/SERPING1/FCGR1A/IL18/MR1/FCER1G/C1QC/C1R/ITGB2/IL6R/SCIMP/TNFSF13/C2/B2M/NOD2/PTGDR/STAT3/LGALS9/GPR183/ITGAM/PTGER4/C1QB/C1QA/STAT5B/LEP/A2M/PLEC/GATA2/C1S/SOCS3/IRF7/SEMA4A/SPN/PLCG2/CR1/PLPP4/HLA-DRA/HLA-E/CFI/C4B/HLA-DMB/CFB/MILR1	98
GO:0002443	leukocyte mediated immunity	68/1119	287/13919	1.88826517860943e-16	4.6866741733086e-13	3.64534561849441e-13	FGR/TYROBP/ERCC1/CD74/TNFRSF1B/SPI1/BCL3/PVR/STXBP2/IL4R/PTPRC/LAT2/ICAM1/CSF2RB/IL4I1/LILRB1/JAK3/PTGDS/CTSC/TCIRG1/PTPN6/C7/BCL6/IL1R1/MPL/VAMP8/NCKAP1L/IL1B/ADGRE2/RAC2/PRAM1/RSAD2/HAVCR2/MYO1G/VAV1/LYST/NFKBIZ/SERPING1/FCGR1A/IL18/MR1/FCER1G/C1QC/C1R/ITGB2/SCIMP/TNFSF13/C2/B2M/NOD2/PTGDR/LGALS9/ITGAM/C1QB/C1QA/STAT5B/LEP/GATA2/C1S/IRF7/SPN/PLCG2/CR1/HLA-DRA/HLA-E/CFI/C4B/MILR1	68
GO:0043062	extracellular structure organization	65/1119	273/13919	6.88191082078797e-16	7.51757614414046e-13	5.84725164271326e-13	CFLAR/TNFRSF1B/ELN/FOXC1/TNFRSF1A/BCL3/FBLN1/B4GALT1/ADAMTS2/MMP2/NID2/LAMB1/PAPLN/CRISPLD2/AEBP1/ECM2/COL1A1/VTN/TNR/TGFBI/TEX14/FMOD/RECK/MMP19/LRP1/COLGALT1/COL5A1/POMT1/LOXL2/LCP1/CYP1B1/EMILIN1/ADAMTS14/COL2A1/LUM/ADAMTSL4/ADAM15/COL8A1/ADAMTS12/ADAMTS1/ADAMTSL3/ADAMTS4/RUNX1/DDR2/CTSS/ADAMTS9/EGFLAM/COL1A2/ADAMTS15/BMP1/COL3A1/AXIN2/ANTXR1/NDNF/FOXC2/ANXA2/COL18A1/GAS6/FLRT2/OLFML2A/COL14A1/LAMA2/COL13A1/COL15A1/COL28A1	65
GO:0050865	regulation of cell activation	95/1119	497/13919	7.17273093648966e-16	7.51757614414046e-13	5.84725164271326e-13	FGR/GCLC/CD4/TYROBP/CD74/TNFRSF1B/SPI1/STXBP2/IL4R/GPR137B/TCF7/PTPRC/FBXO7/NFATC2/IL4I1/LILRB1/CD33/JAK3/VSIR/ACTA2/CCL2/CTSC/ZBTB16/PTPN6/NEDD9/BCL6/WNT5A/PLEK/MPL/TNFAIP3/VAMP8/FOXO3/NCKAP1L/SDC4/CDKN1A/BMP4/IL1B/ADGRE2/FGL2/RAC2/THEMIS2/LILRB2/EMILIN2/PRAM1/ANXA1/HAVCR2/TEC/SERPINE2/GPNMB/MARCHF7/HLX/LRRC32/EMILIN1/MMRN1/VAV1/ITPKB/NFKBIZ/ATM/IL18/FCER1G/RUNX1/ITGB2/TNFSF13/VCAM1/DDR2/TGFBR2/MNDA/NOS3/LRFN5/B2M/NOD2/IGF2/CCDC88B/LGALS9/GPR183/ITGAM/CEBPB/STAT5B/LEP/PTPN2/THBD/GATA2/GAS6/IRS2/PLSCR1/LRRK2/PELI1/SPN/CR1/HLA-DMA/HLA-DRA/AIF1/HLA-E/HLA-DMB/MILR1	95
GO:0002521	leukocyte differentiation	92/1119	474/13919	7.87104334235403e-16	7.51757614414046e-13	5.84725164271326e-13	TMEM176A/CASP10/CD4/TYROBP/LTF/CD74/CASP8/SBNO2/SPI1/BCL3/IL4R/GPR137B/TCF7/PTPRC/TF/FBXO7/RASSF2/CCN4/IL4I1/LILRB1/JAK3/TMEM176B/VSIR/ZBTB16/TCIRG1/LTBR/PTPN6/NEDD9/NR3C1/BCL6/LEPR/FOXO3/NCKAP1L/BMP4/IL1B/STAT5A/FGL2/LILRB2/NFATC1/RSAD2/DOCK2/ANXA1/CTSL/DOCK10/HLX/TLR2/TNFRSF11A/VAV1/ITPKB/NFKBIZ/ATM/IL18/MR1/CMTM7/CD109/FCER1G/C1QC/RUNX1/IL6R/TAL1/VCAM1/TGFBR2/IFI16/CCR1/FBN1/B2M/STAT3/TET2/LGALS9/GPR183/OSCAR/PTGER4/CEBPB/STAT5B/LEP/PTPN2/GATA2/HCLS1/TMEM64/ANXA2/GAS6/CSF1/SOCS3/JAG2/IRF7/IKZF1/GPR89B/SEMA4A/SPN/PLCG2/CR1/HLA-DRA	92
GO:0002274	myeloid leukocyte activation	49/1119	170/13919	9.08651427575398e-16	7.51757614414046e-13	5.84725164271326e-13	FGR/TYROBP/SLC11A1/CD74/IFNGR1/LCP2/SBNO2/SPI1/IFI35/STXBP2/IL4R/GPR137B/PTPRC/LAT2/NDRG1/CD33/PTGDS/CTSC/LTBR/PTPN6/WNT5A/VAMP8/CD93/ADGRE2/RAC2/PRAM1/DOCK2/ANXA1/HAVCR2/TLR2/ATM/IL18/FCER1G/ITGB2/TGFBR2/LRFN5/PTGDR/LGALS9/CXCL8/ITGAM/C1QA/GATA2/CSF1/PLSCR1/LRRK2/C5AR1/PLCG2/AIF1/MILR1	49
GO:0030198	extracellular matrix organization	64/1119	272/13919	2.1317384017922e-15	1.51170706092807e-12	1.17582202372538e-12	CFLAR/TNFRSF1B/ELN/FOXC1/TNFRSF1A/BCL3/FBLN1/B4GALT1/ADAMTS2/MMP2/NID2/LAMB1/PAPLN/CRISPLD2/AEBP1/ECM2/COL1A1/VTN/TNR/TGFBI/FMOD/RECK/MMP19/LRP1/COLGALT1/COL5A1/POMT1/LOXL2/LCP1/CYP1B1/EMILIN1/ADAMTS14/COL2A1/LUM/ADAMTSL4/ADAM15/COL8A1/ADAMTS12/ADAMTS1/ADAMTSL3/ADAMTS4/RUNX1/DDR2/CTSS/ADAMTS9/EGFLAM/COL1A2/ADAMTS15/BMP1/COL3A1/AXIN2/ANTXR1/NDNF/FOXC2/ANXA2/COL18A1/GAS6/FLRT2/OLFML2A/COL14A1/LAMA2/COL13A1/COL15A1/COL28A1	64
GO:0050900	leukocyte migration	66/1119	288/13919	3.0764259440272e-15	1.71203391715717e-12	1.33163840878165e-12	ITGAL/ITGA3/ITGA2B/SELE/ALOX5/CD74/SPI1/CXCL2/B4GALT1/MMP2/ICAM1/HMOX1/RIN3/HCK/CCL2/TRPV4/NEDD9/BMP5/WNT5A/IL1R1/CSF3R/NCKAP1L/IL1B/ADGRE2/RAC2/MTUS1/PLVAP/LYVE1/C5AR2/ANXA1/LRCH1/MYO1G/EMILIN1/CH25H/TNFRSF11A/VAV1/LYST/PLA2G7/VEGFC/EPS8/FCER1G/ITGB2/IL6R/CXCL16/VCAM1/S100A9/CCR1/RET/NOD2/LGALS9/CXCL8/GPR183/PTGER4/C3AR1/IL16/STAT5B/LEP/ANO6/PLEC/GAS6/CSF1/APOD/C5AR1/SPN/AIF1/PECAM1	66
GO:0045229	external encapsulating structure organization	64/1119	274/13919	3.10400992232363e-15	1.71203391715717e-12	1.33163840878165e-12	CFLAR/TNFRSF1B/ELN/FOXC1/TNFRSF1A/BCL3/FBLN1/B4GALT1/ADAMTS2/MMP2/NID2/LAMB1/PAPLN/CRISPLD2/AEBP1/ECM2/COL1A1/VTN/TNR/TGFBI/FMOD/RECK/MMP19/LRP1/COLGALT1/COL5A1/POMT1/LOXL2/LCP1/CYP1B1/EMILIN1/ADAMTS14/COL2A1/LUM/ADAMTSL4/ADAM15/COL8A1/ADAMTS12/ADAMTS1/ADAMTSL3/ADAMTS4/RUNX1/DDR2/CTSS/ADAMTS9/EGFLAM/COL1A2/ADAMTS15/BMP1/COL3A1/AXIN2/ANTXR1/NDNF/FOXC2/ANXA2/COL18A1/GAS6/FLRT2/OLFML2A/COL14A1/LAMA2/COL13A1/COL15A1/COL28A1	64
GO:0009617	response to bacterium	86/1119	440/13919	4.75226270854998e-15	2.35902320852421e-12	1.83487364368014e-12	FGR/SELE/STAB1/CD4/LTF/SLC11A1/TNFRSF1B/MAP2K3/CDH1/CASP8/SBNO2/SPI1/TNFRSF1A/BCL3/CXCL2/MGST2/OAS1/LYZ/TF/FKBP5/CSF2RB/PABPN1/NFKBIA/HCK/GSDMD/LILRB1/NOD1/CCL2/IL10RA/SASH1/WNT5A/PLSCR4/GBP1/TNFAIP3/PTGFR/NAGK/IL1B/ZFP36/RNASE1/LILRB2/EMILIN2/HAVCR2/CD36/TLR2/EMILIN1/TNFRSF11A/LYST/NFKBIZ/ALAD/ADM/FCGR1A/IL18/MR1/BMP6/COLEC12/FCER1G/IL6R/SCIMP/VCAM1/CAPN2/S100A9/ADAMTS9/NOS3/ABCA1/C2/B2M/NOD2/LGALS9/CXCL8/CD14/LRG1/PTGER4/CEBPB/KLHL6/THBD/CASP4/PELI1/C5AR1/SPN/MPEG1/PLCG2/HLA-E/C4B/AQP1/CFB/MRC1	86
