"Gene","R","P","FDR"
"ENSG00000000419.14",-0.141303284241671,0.066874720136909,0.22972528947098
"ENSG00000000457.14",0.0613550361873803,0.428102577276653,0.665497523899784
"ENSG00000000460.17",-0.00340518404024002,0.964953045692189,0.984612218553115
"ENSG00000000938.13",0.212335382012798,0.00557901376562624,0.0484028984590858
"ENSG00000000971.17",0.295586998602721,9.55357708648589e-05,0.00316001977510418
"ENSG00000001036.14",-0.021126268674426,0.785134876042834,0.900360295057607
"ENSG00000001084.13",0.241797614736651,0.00153929612067256,0.0207461400662734
"ENSG00000001167.15",0.0134308986264209,0.862404895750708,0.939431191527672
"ENSG00000001460.18",0.0793425149914856,0.305167375936536,0.55432011804904
"ENSG00000001461.17",0.0242323861045533,0.754486602134436,0.884336416463853
"ENSG00000001561.7",0.128689627354871,0.0954170624074156,0.284059490956941
"ENSG00000001617.12",0.0220734132806466,0.77575187415507,0.894973652716347
"ENSG00000001626.17",-0.0057392178305065,0.940965265074797,0.975248495662794
"ENSG00000001629.10",0.0779794067940099,0.313577345364296,0.562068523847014
"ENSG00000001630.18",0.0556896858841587,0.47204777843513,0.701007232292039
"ENSG00000001631.17",0.114154887759036,0.139451968860541,0.354163741467092
"ENSG00000002016.18",0.157676581538463,0.0406180414177712,0.172156485579951
"ENSG00000002330.14",-0.099434232467366,0.198358812214583,0.433858974285974
"ENSG00000002549.13",0.0836294860881399,0.279692919849644,0.528485229805849
"ENSG00000002587.10",0.0836766369810264,0.279420944708696,0.528331243649796
"ENSG00000002745.13",0.0747878877723207,0.33385358477636,0.581479781561459
"ENSG00000002746.15",-0.240584262162892,0.00162827637449673,0.0215008921045491
"ENSG00000002822.16",-0.043602189938776,0.573510188007144,0.773283992053148
"ENSG00000002834.18",-0.17681682657893,0.0214646926487194,0.114854105740769
"ENSG00000002919.15",-0.0298692481087736,0.699863747217272,0.853844430424924
"ENSG00000002933.9",0.391692151076504,1.39303336273143e-07,4.58876353039091e-05
