"Gene","Median_R","P_value","FDR"
"ENSG00000130368",-0.300001089596033,7.04918649449021e-05,0.00158333990371133
"ENSG00000029534",-0.300154501449069,6.98632353084286e-05,0.00157114499950822
"ENSG00000139364",-0.3001628755716,6.98290727344198e-05,0.00157114499950822
"ENSG00000226746",-0.300193060813191,6.97060607437049e-05,0.00156912575069882
"ENSG00000111490",-0.300303630275831,6.9257197043738e-05,0.00155959199958281
"ENSG00000278291",-0.300471711663575,6.85800481353903e-05,0.00154774128435807
"ENSG00000167964",-0.300490230755114,6.85058212006642e-05,0.0015472469000045
"ENSG00000203782",-0.300542145917405,6.82981398429855e-05,0.00154364330462604
"ENSG00000099999",-0.300685514679761,6.77276697869024e-05,0.0015318749391272
"ENSG00000186642",-0.300696622603159,6.76836579331003e-05,0.00153144229552747
"ENSG00000184156",-0.300831759057405,6.71503632137968e-05,0.00152217383190789
"ENSG00000166501",-0.300844133168387,6.71017281700537e-05,0.00152163181963809
"ENSG00000167535",-0.300976926180825,6.65818754741933e-05,0.00151207193512316
"ENSG00000235278",-0.301034296689625,6.63584541592183e-05,0.00150755433841821
"ENSG00000157388",-0.301367852408366,6.50733339966053e-05,0.00148109218472155
"ENSG00000218186",-0.301369996595705,6.50651489215767e-05,0.00148109218472155
"ENSG00000078328",-0.301383861574319,6.50122450003623e-05,0.00148079704156266
"ENSG00000231752",-0.301387200441378,6.49995110777169e-05,0.00148079704156266
"ENSG00000074211",-0.301506943398616,6.45443733150039e-05,0.00147286574390011
"ENSG00000085831",-0.301526383242657,6.4470765964266e-05,0.00147173175834747
"ENSG00000142675",-0.301563386087213,6.4330875299638e-05,0.0014690832613881
"ENSG00000132938",-0.301635677710131,6.40583951721633e-05,0.00146340381309414
"ENSG00000170035",-0.301757439858489,6.36018976477955e-05,0.00145405467638779
"ENSG00000088899",-0.301773109262417,6.35433737298902e-05,0.00145325655623648
"ENSG00000279486",-0.302284549386253,6.16606887234691e-05,0.00141387683561743
"ENSG00000067836",-0.302440592457639,6.10967738391998e-05,0.00140303725714915
"ENSG00000171798",-0.302508867024341,6.08515653252275e-05,0.0013979278597894
"ENSG00000204052",-0.302561002810139,6.06649414585343e-05,0.0013941609996729
"ENSG00000174996",-0.302775836461999,5.9901579961018e-05,0.00137816180826949
"ENSG00000167394",-0.302965572791373,5.9234900722642e-05,0.00136435356664457
"ENSG00000279324",-0.302983734449717,5.91714523263909e-05,0.0013634024193094
"ENSG00000158286",-0.303047846790914,5.89479831875698e-05,0.0013592711417369
"ENSG00000144285",-0.303072333866666,5.88628405715942e-05,0.00135781658925719
"ENSG00000162989",-0.30314816792683,5.85998938556196e-05,0.00135327274575994
"ENSG00000166159",-0.303161037005336,5.8555381222681e-05,0.00135275239563389
"ENSG00000124120",-0.303515249081725,5.73425879752576e-05,0.00132772469313365
"ENSG00000101489",-0.303533244377923,5.72816073260036e-05,0.00132681190864568
"ENSG00000253137",-0.303578536579052,5.7128394958915e-05,0.00132425986416251
"ENSG00000087152",-0.30360583796893,5.70362269785277e-05,0.0013226215347274
"ENSG00000124493",-0.303610316793292,5.70211200489997e-05,0.0013226215347274
"ENSG00000196542",-0.303770270983578,5.64840554582327e-05,0.00131228943341694
"ENSG00000215218",-0.303920889566716,5.59826801826541e-05,0.00130287812998466
"ENSG00000236714",-0.304096682760403,5.54027884739782e-05,0.00129106747968289
"ENSG00000142185",-0.304109370074093,5.53611555688855e-05,0.00129058596906496
"ENSG00000166342",-0.304125077299154,5.53096536362872e-05,0.00128987393838259
"ENSG00000075945",-0.304132748691688,5.52845164973433e-05,0.00128977645311315
"ENSG00000189108",-0.304222446807358,5.49913940837617e-05,0.00128391136475381
"ENSG00000118473",-0.304301666029566,5.47337293884361e-05,0.00127838050910129
"ENSG00000179091",-0.304447565220466,5.42621481543839e-05,0.00126977553080358
"ENSG00000103316",-0.304474010246319,5.41770809350754e-05,0.00126826712402749
"ENSG00000156453",-0.304491431775743,5.41211085430961e-05,0.0012674389285298
"ENSG00000226757",-0.304592839856123,5.37963780915832e-05,0.0012617546849346
"ENSG00000254531",-0.304682628941467,5.35103820728312e-05,0.00125696295965279
"ENSG00000165495",-0.304785685065968,5.31838877377073e-05,0.00124977059447478
"ENSG00000273032",-0.304806279956165,5.3118865290531e-05,0.00124871942148222
"ENSG00000105426",-0.304825035675879,5.30597144492547e-05,0.00124780552772829
"ENSG00000167549",-0.304854888012413,5.29656952099968e-05,0.00124607062156118
"ENSG00000280365",-0.30493060120503,5.27279393395319e-05,0.00124095154826468
"ENSG00000277399",-0.304940856347639,5.26958131393244e-05,0.00124095154826468
"ENSG00000237984",-0.304996203430832,5.25227448565944e-05,0.00123801601281281
"ENSG00000154237",-0.305000916009879,5.25080334820976e-05,0.00123801601281281
"ENSG00000228021",-0.305115560600595,5.21513344969134e-05,0.00123114757586423
"ENSG00000198910",-0.305167197099727,5.19914198931396e-05,0.00122784341746101
