"Gene","Median_R","P_value","FDR"
"ENSG00000215022",-0.213137056023924,0.00526099647143871,0.0498357344679428
"ENSG00000279467",-0.213167310128977,0.0052544102987566,0.0497810079166681
"ENSG00000081842",-0.213174671426407,0.00525280889675941,0.0497734981897092
"ENSG00000054803",-0.213176976105869,0.00525230761867228,0.0497734981897092
"ENSG00000089199",-0.213200954503731,0.00524709475010322,0.049742328912562
"ENSG00000279829",-0.213202421911904,0.00524677588817077,0.049742328912562
"ENSG00000286523",-0.213208014485601,0.00524556080329432,0.049742328912562
"ENSG00000151067",-0.213232944511566,0.00524014738124198,0.049707094702706
"ENSG00000203709",-0.213303768386035,0.0052247956331043,0.0495767533832518
"ENSG00000286063",-0.213316105095402,0.00522212565593763,0.0495590595788782
"ENSG00000233452",-0.213345474213624,0.00521577434824459,0.0495140546796799
"ENSG00000218976",-0.213358230351693,0.00521301788603574,0.049503158891866
"ENSG00000284642",-0.213379784385667,0.00520836325843832,0.0494665907989703
"ENSG00000242922",-0.213382814245172,0.00520770925391273,0.0494665907989703
"ENSG00000182667",-0.213392613468621,0.00520559456474819,0.0494555591066475
"ENSG00000256564",-0.213411971513237,0.00520141932527598,0.049423521839553
"ENSG00000173272",-0.213416780216262,0.00520038262532894,0.0494213014659117
"ENSG00000248896",-0.21343927222693,0.00519553606792159,0.0493904961019719
"ENSG00000143630",-0.213469683718418,0.00518898945968604,0.0493435054553334
"ENSG00000234360",-0.213498021437449,0.00518289591679358,0.0493007954100686
"ENSG00000279630",-0.213516335049869,0.00517896129649194,0.0492709837735817
"ENSG00000131233",-0.213523038487326,0.00517752175354117,0.0492649039579372
"ENSG00000288881",-0.213523274560763,0.00517747106401575,0.0492649039579372
"ENSG00000180139",-0.21353622686226,0.00517469063576794,0.0492608136871929
"ENSG00000214457",-0.213576066159096,0.00516614684380591,0.0491870886997511
"ENSG00000213790",-0.213597668766973,0.00516151931061586,0.0491582396243488
"ENSG00000289008",-0.213626715298681,0.00515530305256508,0.0491218410074416
"ENSG00000287209",-0.213647082851341,0.00515094818565674,0.0490879459798789
"ENSG00000129636",-0.213667230481201,0.00514664358306193,0.0490545195409576
"ENSG00000103121",-0.213749058260595,0.00512919392364923,0.0489109251374447
"ENSG00000205726",-0.213772584987554,0.00512418669960343,0.0488707494561279
"ENSG00000142186",-0.213836300713579,0.00511064797585688,0.0487718590519671
"ENSG00000170396",-0.213878263937776,0.00510174887139797,0.0487095923892827
"ENSG00000233693",-0.213910408481773,0.00509494139740704,0.0486596948109899
"ENSG00000234177",-0.213944050958895,0.00508782541116937,0.0485992747330448
"ENSG00000102128",-0.213949921331917,0.00508658463488703,0.048594965037176
"ENSG00000279875",-0.213968158609299,0.00508273168862804,0.048573235876541
"ENSG00000138443",-0.213986095237263,0.00507894481022564,0.0485534450309561
"ENSG00000126461",-0.21400666010632,0.00507460615360753,0.048525724225858
"ENSG00000288657",-0.21411444443914,0.00505192070018552,0.048334128112826
"ENSG00000213315",-0.214131525971974,0.0050483338890364,0.0483120293681941
"ENSG00000240174",-0.214143050760426,0.00504591518228144,0.0482963925316219
"ENSG00000133169",-0.214220868437113,0.00502961074574335,0.0481628074896575
"ENSG00000137142",-0.21424508413331,0.00502454668805473,0.0481218022672954
"ENSG00000051009",-0.21429887377015,0.0050133143821159,0.0480291750206944
"ENSG00000181619",-0.214311539051087,0.0050106729037768,0.0480113425486594
"ENSG00000114757",-0.214331210424036,0.00500657270351493,0.0479795251424981
"ENSG00000007080",-0.214337079221855,0.00500535002376379,0.0479752782841487
"ENSG00000285993",-0.21438942643198,0.00499445606560677,0.0478783183959039
"ENSG00000257835",-0.214400065127233,0.00499224465037293,0.0478645746631176
"ENSG00000175662",-0.214404612641412,0.00499129964784607,0.0478629706336925
"ENSG00000116544",-0.214433286098993,0.00498534481106653,0.0478133179137102
"ENSG00000039523",-0.214440333054235,0.0049838822908082,0.0478067412259195
"ENSG00000163637",-0.21450251889332,0.00497099294225541,0.0476905361867759
"ENSG00000257723",-0.214554676573747,0.00496020518975138,0.0476018818334725
"ENSG00000258057",-0.214574359591715,0.00495613961505006,0.0475702832920526
"ENSG00000138078",-0.214596715621716,0.00495152554598566,0.0475334094840339
"ENSG00000234497",-0.214630939234793,0.00494446958006208,0.0474804861656016
"ENSG00000229359",-0.214666402176358,0.00493716760750423,0.0474251667295521
"ENSG00000145335",-0.214692683109505,0.00493176248721701,0.0474028409360118
"ENSG00000198015",-0.214712157556581,0.00492776065839729,0.0473717747517031
"ENSG00000280776",-0.214727822736543,0.00492454371331064,0.0473482453197923
"ENSG00000102904",-0.214754971613419,0.00491897297540341,0.0473094659787822
"ENSG00000246379",-0.214806976774512,0.00490831769317446,0.047214364505897
"ENSG00000224425",-0.214830219508836,0.00490356220755011,0.0471759938254594
"ENSG00000272620",-0.214835584578325,0.00490246509610232,0.0471728129885118
"ENSG00000172731",-0.21487705950512,0.00489399124634781,0.0471060052025695
"ENSG00000121454",-0.214880520653591,0.00489328468408545,0.0471060052025695
"ENSG00000156298",-0.21492522459424,0.00488416699228291,0.0470261535314548
"ENSG00000166257",-0.214993258315559,0.00487032024880569,0.0469148519944431
"ENSG00000127526",-0.215029817865371,0.00486289391667544,0.0468800036353185
"ENSG00000279388",-0.215070898735974,0.0048545612846836,0.046821676806859
"ENSG00000131368",-0.215101507484395,0.00484836108902103,0.0467838718818924
"ENSG00000235381",-0.215147722002815,0.00483901319648462,0.0467009923419241
"ENSG00000256654",-0.215199289217758,0.00482860168389299,0.0466224446240211
"ENSG00000236653",-0.215215154053055,0.00482540258835782,0.0465988666088018
"ENSG00000144355",-0.21528041891878,0.00481226210965549,0.0464938554594407
"ENSG00000276449",-0.21529221203379,0.0048098911007429,0.0464782442933147
"ENSG00000100401",-0.215298084070298,0.00480871091695481,0.0464741370403685
"ENSG00000259575",-0.215299779967835,0.00480837011747822,0.0464741370403685
"ENSG00000274064",-0.215333790481956,0.00480154009802632,0.046419413099738
"ENSG00000241787",-0.215398402466546,0.00478858862610444,0.0463087521063751
"ENSG00000286642",-0.215415283984902,0.00478520989228779,0.0462833502453182
"ENSG00000162694",-0.21543921394796,0.00478042411830341,0.0462443291318556
"ENSG00000147010",-0.215440391063676,0.00478018881672491,0.0462443291318556
"ENSG00000228979",-0.215526227057993,0.00476305845282868,0.0460980766505564
"ENSG00000234773",-0.215541438353535,0.00476002847121175,0.0460759975200151
"ENSG00000257894",-0.215551783257939,0.00475796882780251,0.0460633055746859
"ENSG00000149260",-0.215602064054325,0.00474796943281665,0.045995440071347
"ENSG00000178796",-0.215605274785786,0.00474733155199586,0.045995440071347
"ENSG00000251095",-0.215692443536571,0.00473004295240293,0.0458506478914295
"ENSG00000212695",-0.215706274990531,0.00472730489117223,0.0458313251767965
"ENSG00000286156",-0.215814860279135,0.00470585879980592,0.0456377834817611
"ENSG00000007168",-0.215826347029586,0.00470359522684745,0.0456230204320093
"ENSG00000144120",-0.215891601191031,0.00469075480249122,0.0455199958316808
"ENSG00000177272",-0.215891979655787,0.00469068042169451,0.0455199958316808
"ENSG00000271461",-0.215918327597296,0.00468550478331658,0.0455061385812712
"ENSG00000107742",-0.215939220801389,0.00468140428520956,0.0454794546691297
"ENSG00000123472",-0.215955640328203,0.00467818405023397,0.0454553456248183
"ENSG00000288062",-0.215963136399484,0.00467671456456795,0.0454526753479539
"ENSG00000126464",-0.215977097051311,0.00467397890445459,0.0454360065859664
"ENSG00000236380",-0.215980920155221,0.004673229998441,0.0454359031633575
"ENSG00000212128",-0.215991502029247,0.00467115768154019,0.0454229306924806
"ENSG00000255408",-0.216004372920252,0.00466863820300421,0.0454056051778905
"ENSG00000162817",-0.216082430766615,0.00465338447329558,0.0452715608638165
"ENSG00000272693",-0.216113039415829,0.00464741527885153,0.0452277871476342
"ENSG00000289108",-0.216113181760443,0.00464738753534833,0.0452277871476342
"ENSG00000265689",-0.216156751933382,0.00463890252535393,0.0451735153513263
"ENSG00000153495",-0.216157385708056,0.00463877920447041,0.0451735153513263
"ENSG00000091482",-0.216165190179829,0.00463726083909531,0.0451718235329664
"ENSG00000236760",-0.216183979076292,0.00463360727541334,0.0451433791606836
"ENSG00000198785",-0.216201543626938,0.00463019412621821,0.045117268414182
"ENSG00000149927",-0.216255592636952,0.0046197054535814,0.0450364569040415
"ENSG00000171368",-0.216269308436925,0.00461704717961311,0.0450242507067676
"ENSG00000231322",-0.216288247455048,0.00461337884454355,0.0450032949133917
"ENSG00000198300",-0.216301989844328,0.00461071869237615,0.0449916079282698
"ENSG00000141759",-0.216310743368516,0.00460902496635232,0.0449893469514968
"ENSG00000204406",-0.216336448788486,0.00460405443220753,0.0449479578007265
"ENSG00000259224",-0.216374260644874,0.00459675167723601,0.0448837831546585
"ENSG00000244604",-0.216382006656103,0.00459525694275586,0.0448763080426795
"ENSG00000029153",-0.216439470152321,0.00458418192554425,0.0447894733173035
"ENSG00000237353",-0.216478890842016,0.00457659818383593,0.0447224767586533
"ENSG00000253368",-0.216522439511233,0.0045682333958042,0.0446620105022039
"ENSG00000267493",-0.216561704616259,0.00456070315839882,0.0445954742898788
"ENSG00000272375",-0.216641285143159,0.00454547542099393,0.0444607023696202
"ENSG00000242759",-0.216684839476878,0.00453716063722769,0.0443864273180005
"ENSG00000235123",-0.216703486350305,0.00453360501331335,0.0443604683497453
"ENSG00000286015",-0.216740359356208,0.00452658135633186,0.044311105931937
"ENSG00000264364",-0.216773329937772,0.0045203093167611,0.0442769859435674
"ENSG00000106868",-0.216811893388388,0.00451298323851826,0.0442201943052647
"ENSG00000257069",-0.216819030625523,0.00451162851399421,0.0442139594371432
"ENSG00000226683",-0.216864004331832,0.00450310041559369,0.0441374123231881
"ENSG00000145861",-0.216889333157114,0.00449830383367418,0.044104446573147
"ENSG00000102901",-0.2169302045558,0.00449057358930942,0.0440356693722847
"ENSG00000277159",-0.216932450502971,0.00449014914625536,0.0440356693722847
"ENSG00000234432",-0.216932793019358,0.00449008442007082,0.0440356693722847
"ENSG00000166676",-0.216949779348445,0.0044868755214734,0.0440274660544578
"ENSG00000287912",-0.216958943864063,0.00448514510211353,0.0440175044114934
"ENSG00000225911",-0.21700134740152,0.00447714637750451,0.0439530222774187
"ENSG00000231181",-0.217005265413069,0.00447640795638709,0.0439527841844109
"ENSG00000086506",-0.21703335534243,0.00447111709596104,0.0439218564331726
"ENSG00000251294",-0.217067811687303,0.00446463476256971,0.0438721829518745
"ENSG00000240204",-0.217077241450862,0.00446286219589467,0.0438617679629738
"ENSG00000235816",-0.217138688726268,0.00445132706778463,0.0437614157922741
"ENSG00000130226",-0.2171542390175,0.00444841215349852,0.0437476953619228
"ENSG00000152128",-0.217185137829533,0.0044426252335851,0.0437047518183762
"ENSG00000271434",-0.217193227469395,0.00444111127315002,0.0436968428768577
"ENSG00000268182",-0.217256982280984,0.00442919588944677,0.0435865736840601
"ENSG00000235316",-0.217281585445287,0.00442460539199845,0.0435553285740807
"ENSG00000135324",-0.217296269036505,0.00442186774079838,0.0435353428634931
"ENSG00000229081",-0.21732998411207,0.00441558756074088,0.0434804673341179
"ENSG00000289510",-0.217357260349697,0.00441051262055695,0.0434374441861989
"ENSG00000287112",-0.217396162287752,0.00440328369927285,0.0433801331820151
"ENSG00000187624",-0.217430315413948,0.00439694599701577,0.0433246308742136
"ENSG00000101247",-0.217438135006026,0.00439549608995336,0.0433172796413274
"ENSG00000178234",-0.21746455893681,0.00439059974752898,0.0432828881726611
"ENSG00000255403",-0.217491359800254,0.00438563856488465,0.0432478352567314
"ENSG00000084710",-0.217554575463639,0.00437395647833763,0.0431464621738758
"ENSG00000204681",-0.21768852053302,0.00434929610438542,0.0429445017565051
"ENSG00000278989",-0.217707389426222,0.00434583224404806,0.0429171854344823
"ENSG00000213888",-0.217711337772184,0.00434510773940556,0.0429169171423489
"ENSG00000126267",-0.217713173188225,0.00434477098533934,0.0429169171423489
"ENSG00000253805",-0.217798165856058,0.00432920256454068,0.0428079117339479
"ENSG00000148337",-0.217800954064795,0.00432869268824385,0.0428079117339479
"ENSG00000100028",-0.217826491773612,0.00432402514857477,0.0427773354354421
"ENSG00000102078",-0.217836371377543,0.00432222066193921,0.0427663582666216
"ENSG00000261286",-0.217865724041061,0.00431686345708176,0.0427202194247692
"ENSG00000262152",-0.217912513050178,0.00430833624935108,0.0426495489995275
"ENSG00000251536",-0.217921612964513,0.00430667956648155,0.0426400075996686
"ENSG00000169727",-0.217937104199825,0.00430386062975064,0.042622494517981
"ENSG00000225900",-0.217948378062516,0.00430181016990076,0.0426123619984505
"ENSG00000286353",-0.217975140296538,0.00429694624146946,0.042577887535823
"ENSG00000170485",-0.217993114575925,0.00429368226322123,0.0425523963297403
"ENSG00000287225",-0.21804653542796,0.00428399463184124,0.042476907623979
"ENSG00000237691",-0.218105586452381,0.00427330885489241,0.0423914442562054
"ENSG00000231754",-0.218109799937193,0.00427254730592194,0.042390722456176
"ENSG00000186442",-0.218145193385928,0.00426615507650219,0.0423341257704371
"ENSG00000184999",-0.218152780316044,0.00426478595912218,0.0423341257704371
"ENSG00000216906",-0.218175835182569,0.00426062796164175,0.0423133915235243
"ENSG00000148384",-0.218200050392118,0.00425626461709462,0.0422837045350236
"ENSG00000136854",-0.218214566056837,0.00425365096161769,0.0422645616373586
"ENSG00000157470",-0.218268345463465,0.00424398013956544,0.0421786963286461
"ENSG00000233012",-0.218301619691206,0.00423800653918767,0.0421295226050341
"ENSG00000213612",-0.218360040110632,0.00422753681528784,0.0420390250056673
"ENSG00000233821",-0.218381348590869,0.00422372383971651,0.0420078959262302
"ENSG00000199940",-0.218426058243465,0.00421573346493871,0.0419435641468746
"ENSG00000235257",-0.218426378932429,0.0042156762014852,0.0419435641468746
"ENSG00000206181",-0.218428017112949,0.00421538369258635,0.0419435641468746
"ENSG00000184599",-0.218431707942342,0.0042147247353435,0.0419435641468746
"ENSG00000180611",-0.218452234515633,0.00421106162930444,0.0419302570882348
"ENSG00000286889",-0.218491270202225,0.00420410334210291,0.0418804364011624
"ENSG00000203879",-0.2185330399861,0.00419666913862314,0.041813146425032
"ENSG00000288074",-0.218534948245093,0.00419632978836056,0.041813146425032
"ENSG00000273238",-0.218552826718945,0.00419315161462634,0.0417984002219895
"ENSG00000276662",-0.21855643758535,0.00419250999030014,0.0417984002219895
"ENSG00000255167",-0.218582904049922,0.00418780978855423,0.041758678811857
"ENSG00000147123",-0.218638588162729,0.00417793626539451,0.0416804846032485
"ENSG00000175746",-0.218650792648575,0.00417577504829077,0.0416656776219208
"ENSG00000254973",-0.218662691419338,0.00417366893613203,0.0416575964566296
"ENSG00000261448",-0.218679689723862,0.00417066185046508,0.0416349088280653
"ENSG00000153266",-0.218842158787858,0.00414201839057015,0.0414094184258039
"ENSG00000163689",-0.21885278256766,0.00414015158362116,0.0414042068674651
"ENSG00000213619",-0.21886455770729,0.00413808334414522,0.0413969768095048
"ENSG00000285780",-0.218886432379722,0.00413424364240664,0.0413720147525649
"ENSG00000229214",-0.218967021914338,0.00412012524112545,0.0412441424593079
"ENSG00000185345",-0.218994732238194,0.00411528072344012,0.0412090525290268
"ENSG00000248152",-0.219006353815063,0.00411325048115165,0.041195425160618
"ENSG00000162076",-0.219024151431188,0.00411014305582932,0.0411776206037682
"ENSG00000266472",-0.219039559099014,0.00410745461548377,0.0411574709956583
"ENSG00000285973",-0.219073034973135,0.00410161895497728,0.0411056891328972
"ENSG00000183155",-0.219111287207782,0.00409495978760877,0.0410456360209436
"ENSG00000257434",-0.219116969348107,0.00409397143809078,0.0410424137784425
"ENSG00000259985",-0.219207546929224,0.00407824534725215,0.0409047476615526
"ENSG00000259518",-0.219208314394129,0.00407811233235804,0.0409047476615526
"ENSG00000284946",-0.219244212174076,0.00407189498668373,0.0408543699153022
"ENSG00000289014",-0.219294928262642,0.00406312570300519,0.0407863331048363
"ENSG00000261624",-0.219300893361802,0.00406209539917509,0.040782642617754
"ENSG00000273604",-0.219313088568921,0.00405998974998147,0.0407681529079556
"ENSG00000225885",-0.219335360451516,0.00405614677528702,0.0407362103685157
"ENSG00000124205",-0.21935670604441,0.00405246670140078,0.0407125384706186
"ENSG00000211451",-0.21936694250338,0.00405070295671544,0.0407014633090767
"ENSG00000226080",-0.21945204206952,0.00403606698933274,0.0405742742227204
"ENSG00000188130",-0.219506540446181,0.00402671901647925,0.0404869131106353
"ENSG00000260750",-0.219544254399327,0.00402026144301998,0.0404351969683317
"ENSG00000121390",-0.219552844284583,0.0040187919428247,0.0404270237543647
"ENSG00000281706",-0.219586310325559,0.00401307140388488,0.0403892831530157
"ENSG00000286970",-0.219604703971597,0.00400993039516676,0.0403708745689749
"ENSG00000237515",-0.21962664832909,0.00400618593948664,0.0403529799443152
"ENSG00000187122",-0.219726372802082,0.00398920914641272,0.0402017173254993
"ENSG00000008438",-0.21972868795122,0.00398881579241908,0.0402017173254993
"ENSG00000274776",-0.219822039959154,0.00397298392296734,0.0400775811432719
"ENSG00000236366",-0.21984045833457,0.00396986697799247,0.0400527038186178
"ENSG00000187862",-0.219850489030236,0.00396817040725113,0.0400421510975346
"ENSG00000182791",-0.219874142731995,0.00396417225304428,0.0400149281845756
"ENSG00000167487",-0.21988059923136,0.00396308154940329,0.0400104807868236
"ENSG00000162650",-0.219886055446281,0.00396216003547644,0.0400077403155639
"ENSG00000139797",-0.219906326377252,0.00395873811543502,0.0399797470588009
"ENSG00000186628",-0.219939662367429,0.00395311647578135,0.0399360801683334
"ENSG00000235129",-0.219942196761099,0.00395268938040681,0.0399360801683334
"ENSG00000243116",-0.219968798528918,0.00394820896210578,0.0399028363817081
"ENSG00000267128",-0.220049312929857,0.0039346761147336,0.0397824391005692
"ENSG00000150873",-0.220130417765369,0.00392108624885821,0.0396645845002843
"ENSG00000182531",-0.220157644890506,0.00391653357274482,0.0396304902526772
"ENSG00000165060",-0.220157705781647,0.00391652339640783,0.0396304902526772
"ENSG00000112759",-0.220190692770675,0.00391101399471786,0.0395952369289219
"ENSG00000136367",-0.220260319831012,0.00389940795874365,0.0394907295397267
"ENSG00000078902",-0.220311009384429,0.00389097809964884,0.0394378056924882
"ENSG00000093217",-0.220333030898161,0.00388732095526892,0.0394072279477962
"ENSG00000121716",-0.220365378404359,0.00388195456929056,0.0393593100514693
"ENSG00000095713",-0.220399122131266,0.00387636366102103,0.0393155776456622
"ENSG00000255916",-0.220520268448036,0.00385635093076733,0.0391513133756425
"ENSG00000259686",-0.220521938743383,0.00385607565813087,0.0391513133756425
"ENSG00000225872",-0.220559346659627,0.00384991528817981,0.0390988756593628
"ENSG00000256025",-0.220562262151906,0.00384943553465397,0.0390988756593628
"ENSG00000256420",-0.220587336211157,0.0038453117400533,0.0390714653673172
"ENSG00000263426",-0.220626577448349,0.00383886592963073,0.039018854628108
"ENSG00000164418",-0.220634740176405,0.00383752633356867,0.0390116816440618
"ENSG00000236670",-0.220672040563729,0.00383141027242902,0.0389559414846145
"ENSG00000249196",-0.220692397089775,0.0038280761616613,0.0389413420319476
"ENSG00000158856",-0.220711747444415,0.00382490926975858,0.0389155589515659
"ENSG00000270994",-0.220716111254392,0.00382419541179481,0.0389155589515659
"ENSG00000105711",-0.220728900692502,0.00382210393050429,0.0389063123220238
"ENSG00000179222",-0.220729283693979,0.0038220413134271,0.0389063123220238
"ENSG00000152495",-0.220762894403894,0.0038165498800463,0.0388626316706767
"ENSG00000115840",-0.220766760071926,0.00381591874968961,0.0388626316706767
"ENSG00000135248",-0.220811516090406,0.00380861847443144,0.038807552216955
"ENSG00000258429",-0.220854429127763,0.00380163062598238,0.0387427645711971
"ENSG00000288897",-0.220867987543534,0.0037994252099586,0.0387267017425791
"ENSG00000206028",-0.220869528459183,0.00379917463707946,0.0387267017425791
"ENSG00000213339",-0.220975497467358,0.00378197836260682,0.0385616428675074
"ENSG00000184261",-0.221052257427011,0.00376956584319998,0.03846129293266
"ENSG00000120875",-0.221104211784529,0.00376118536434153,0.0384005295393223
"ENSG00000132361",-0.221133688400967,0.0037564381144052,0.0383647904601649
