"Gene","R","P","FDR"
"ENSG00000003249.15",-0.314734562407693,3.07829932581089e-05,0.00142178250497407
"ENSG00000004139.14",-0.344497506654338,4.50928139567017e-06,0.000394997501014515
"ENSG00000005469.12",-0.305171227058857,5.47306039265484e-05,0.00212587390144665
"ENSG00000006468.14",-0.303915893309041,5.89387552330829e-05,0.00224134910057785
"ENSG00000007372.25",-0.33936389239082,6.37156132025426e-06,0.000500840805088308
"ENSG00000008853.18",-0.337807730237902,7.06697696773025e-06,0.000540730168407384
"ENSG00000025772.8",-0.317711764247558,2.56297299676602e-05,0.00124952556050278
"ENSG00000026559.14",-0.350726332639547,2.93994657092799e-06,0.000308609350170594
"ENSG00000031003.11",-0.311194232117454,3.8179732776396e-05,0.00166075299951847
"ENSG00000037897.17",-0.336474422792003,7.71944688811286e-06,0.000566651277813865
"ENSG00000047056.17",-0.336362465896515,7.77675724688456e-06,0.000566651277813865
"ENSG00000049246.15",-0.339955092664558,6.12478596427539e-06,0.000492366891931923
"ENSG00000049759.20",-0.350797385092018,2.92548185793719e-06,0.000308365210112773
"ENSG00000051341.15",-0.31193548636546,3.65047837549436e-05,0.00161338087583457
"ENSG00000054938.17",-0.319705707368772,2.26455039669946e-05,0.00114366548165718
"ENSG00000055163.20",-0.311998448678908,3.63657453704408e-05,0.00161221471142288
"ENSG00000058804.12",-0.407675834228239,3.76912977121011e-08,1.91494407156101e-05
"ENSG00000062822.16",-0.335751109163173,8.0968866704001e-06,0.000571347811356038
"ENSG00000064490.14",-0.371039947869483,6.82942279048403e-07,0.000123799726334836
"ENSG00000065802.12",-0.327996000507787,1.34073531908731e-05,0.000812856785460021
"ENSG00000066468.24",-0.386625106881326,2.0786167404266e-07,5.96659730104741e-05
"ENSG00000067191.16",-0.301577111732897,6.7600221896809e-05,0.00245410635118439
"ENSG00000070808.17",-0.349501824755339,3.20017060106568e-06,0.000325175735115485
"ENSG00000072071.17",-0.304136843273608,5.81767196982595e-05,0.00222080516173032
"ENSG00000072415.10",-0.365309872654747,1.04146314631401e-06,0.000157468285505857
"ENSG00000075043.20",-0.334701040401859,8.676066181309e-06,0.000590879649339926
"ENSG00000075275.18",-0.337410211205428,7.2558260808781e-06,0.000552015767332866
"ENSG00000076641.4",-0.326739033563409,1.45307014694573e-05,0.000856072245195559
"ENSG00000080845.19",-0.312690049129334,3.48709387618041e-05,0.00155955362212343
"ENSG00000083720.13",-0.31663826042084,2.73861606078925e-05,0.0013126238451364
"ENSG00000085999.13",-0.36242577419804,1.28396343614884e-06,0.000180201785461265
"ENSG00000087258.16",-0.348893341575478,3.33748392709864e-06,0.000334187604469035
"ENSG00000087448.11",-0.433557944979638,3.90450624929556e-09,4.09668895061147e-06
"ENSG00000088247.19",-0.35579922352624,2.06106884164754e-06,0.000246984797362305
"ENSG00000089486.17",-0.345752621178811,4.13993899586501e-06,0.000374041444602568
"ENSG00000089723.10",-0.357564945467174,1.81875879609704e-06,0.000232895244076116
"ENSG00000090372.15",-0.345925780430381,4.09129767262895e-06,0.00037312355520777
"ENSG00000091622.16",-0.324378313987922,1.68848926831948e-05,0.000944772970993827
"ENSG00000091664.9",-0.314069196769663,3.20610523723424e-05,0.00146483257808384
"ENSG00000092847.13",-0.302882353828744,6.26293695483162e-05,0.00235351164886964
"ENSG00000094804.12",-0.316467254632605,2.76762152375718e-05,0.00131658969228471
"ENSG00000100030.15",-0.330986238421327,1.10558736703374e-05,0.000710499816213379
"ENSG00000100350.16",-0.318610680436069,2.4241191902398e-05,0.00120982121394227
"ENSG00000100461.18",-0.355716859774756,2.07309033502018e-06,0.000247109085899024
"ENSG00000100462.16",-0.310338171414992,4.02039916014914e-05,0.00171647394731544
"ENSG00000100505.14",-0.307452367921692,4.77964585773223e-05,0.00193032342963389
"ENSG00000100626.17",-0.38622821416614,2.14420340657207e-07,6.05213323746114e-05
"ENSG00000101104.13",-0.341026385066999,5.70053361329986e-06,0.000467739413259595
"ENSG00000101126.18",-0.329097733329235,1.24907345013645e-05,0.000772024643645162
"ENSG00000101144.13",-0.315086673192678,3.01262121676492e-05,0.00140679442590955
"ENSG00000101670.12",-0.323769317835288,1.75482251155522e-05,0.000963627424013528
"ENSG00000104205.16",-0.326145081329478,1.50919292433807e-05,0.000871318814930909
"ENSG00000104679.12",-0.339601338887644,6.27133591354852e-06,0.000498804471646131
"ENSG00000104885.19",-0.313774190666009,3.26435518846885e-05,0.00148344212616591
"ENSG00000104888.10",-0.365406746361726,1.03412963751223e-06,0.000157468285505857
"ENSG00000105088.9",-0.347772956291716,3.6050873963049e-06,0.000349280241973716
"ENSG00000105341.19",-0.357676737882908,1.80436811306012e-06,0.000232671894294753
"ENSG00000105429.13",-0.336070667501581,7.92802827549235e-06,0.000567552892199265
"ENSG00000105556.12",-0.336852962217823,7.52862319793093e-06,0.000560958167181343
"ENSG00000105642.16",-0.405565908365023,4.49679680171541e-08,2.19677171449955e-05
"ENSG00000106113.19",-0.36434930072473,1.11691522662962e-06,0.000162025753084832
"ENSG00000106571.15",-0.340294212362021,5.98735176181274e-06,0.000484384384730347
"ENSG00000106689.11",-0.307251870334751,4.83711423662699e-05,0.00195043195163548
"ENSG00000107185.10",-0.315576861779905,2.92338265324013e-05,0.00137778644787123
"ENSG00000107282.8",-0.315747059436677,2.89298494604871e-05,0.00136599436030623
"ENSG00000108861.9",-0.334204811725003,8.963219746544e-06,0.000602361564077929
"ENSG00000109911.19",-0.300254757369886,7.30117627491884e-05,0.00259354961073365
"ENSG00000110025.13",-0.300233760900627,7.31008747504346e-05,0.00259354961073365
"ENSG00000111412.6",-0.351516484712761,2.78284674994868e-06,0.00029955375129029
"ENSG00000112029.10",-0.33629341808076,7.81230330901695e-06,0.00056701697416845
"ENSG00000112118.20",-0.355265487621651,2.14016486072778e-06,0.000250640110256132
"ENSG00000112280.18",-0.303792255370357,5.93692479553292e-05,0.00225098060568542
"ENSG00000112333.12",-0.406279371058461,4.23681597632337e-08,2.11034973032436e-05
"ENSG00000112640.16",-0.311313079195473,3.79064048642544e-05,0.00165169194299598
"ENSG00000112742.10",-0.321881937933391,1.9763755142261e-05,0.00105032923527362
"ENSG00000115507.10",-0.317794571673322,2.54987500947471e-05,0.00124566297818627
"ENSG00000116584.22",-0.327566781502555,1.37813776744775e-05,0.000827632002517144
"ENSG00000117682.17",-0.32394526475986,1.73540945921268e-05,0.000962545993283399
"ENSG00000118322.14",-0.404945648342309,4.73520847037755e-08,2.26959435420756e-05
"ENSG00000118407.15",-0.302829345029452,6.28243809704141e-05,0.0023538757371555
"ENSG00000119185.13",-0.323395633956751,1.79673508199751e-05,0.000981558307268446
"ENSG00000120334.16",-0.332366262519341,1.01075317523185e-05,0.000663466741871182
"ENSG00000122547.11",-0.326500589080189,1.47535968514274e-05,0.00086356133828758
"ENSG00000122574.12",-0.356958389183268,1.89876346622258e-06,0.000235289211377815
"ENSG00000122756.15",-0.322910718592129,1.85253338991476e-05,0.00100555354068386
"ENSG00000122952.17",-0.309857597523838,4.13841671618651e-05,0.00174631561198149
"ENSG00000123080.12",-0.324035391370172,1.72554408043619e-05,0.000959168408650339
"ENSG00000123416.15",-0.380421379882555,3.36229651336372e-07,8.21273253163257e-05
"ENSG00000124608.5",-0.353299572469408,2.45714565299512e-06,0.000273766978171207
"ENSG00000124785.9",-0.308548161891832,4.47672722955768e-05,0.00184314913796522
"ENSG00000125247.16",-0.311558158343749,3.73485658492116e-05,0.00164067386263757
"ENSG00000125266.8",-0.313415743988791,3.33647249393611e-05,0.00151080946102423
"ENSG00000125285.6",-0.354681878790517,2.22995537800441e-06,0.000256323784920571
"ENSG00000125843.11",-0.32819639077508,1.32360365723092e-05,0.000806319033684341
"ENSG00000126583.12",-0.322089816848503,1.95073837766398e-05,0.00104106317243273
"ENSG00000126861.5",-0.36821484653227,8.41740929007932e-07,0.000139756502088814
"ENSG00000127124.16",-0.312751612730153,3.47407177977932e-05,0.00155646993689125
"ENSG00000127554.13",-0.326939409545511,1.43458565776548e-05,0.000849482038792927
"ENSG00000127946.17",-0.343782608855416,4.73342058987124e-06,0.00040992282362804
"ENSG00000128203.7",-0.356539857768728,1.95590930549385e-06,0.000238663218031835
"ENSG00000128482.16",-0.307066787556821,4.89073990963882e-05,0.00196581433424929
"ENSG00000129038.16",-0.321288901803232,2.05127160110887e-05,0.00106561252521408
"ENSG00000130005.13",-0.309122063936478,4.32537166741898e-05,0.00180422687138661
"ENSG00000130222.11",-0.320909997846666,2.10051791670571e-05,0.00108234191963641
"ENSG00000130294.18",-0.368467856489004,8.26194332616833e-07,0.000138077727838588
"ENSG00000130311.11",-0.315090262955444,3.01195847647996e-05,0.00140679442590955
"ENSG00000131374.15",-0.390560555603345,1.52416350286381e-07,4.68772852001765e-05
"ENSG00000131507.11",-0.322416656959767,1.91106379402861e-05,0.0010283830659503
"ENSG00000132535.22",-0.302761039726159,6.30765058789483e-05,0.00235637129241607
"ENSG00000132589.16",-0.308420889952189,4.51096042403919e-05,0.00185423831151889
"ENSG00000132970.14",-0.311820829863954,3.67592629260113e-05,0.00162117284046782
"ENSG00000133216.17",-0.345797585180218,4.12725585817006e-06,0.000374041444602568
"ENSG00000134250.21",-0.363867718628743,1.15667756509087e-06,0.000164151285955327
"ENSG00000134569.10",-0.385051394141224,2.35052698596742e-07,6.35217415154579e-05
"ENSG00000134775.16",-0.32275610257796,1.8706659854042e-05,0.00101323087478087
"ENSG00000134780.10",-0.379770010755806,3.53440707147138e-07,8.46911835035292e-05
"ENSG00000135334.9",-0.343677217374828,4.76734470281061e-06,0.000410524940628807
"ENSG00000135447.17",-0.325823575690305,1.5404202591858e-05,0.000881335491984161
"ENSG00000135457.11",-0.362820842582455,1.24782058513206e-06,0.000176102146245054
"ENSG00000135519.8",-0.355798291768006,2.06120446564613e-06,0.000246984797362305
"ENSG00000135638.14",-0.302791290194365,6.29647300882498e-05,0.00235565985041503
"ENSG00000135643.5",-0.323796702683451,1.75178759868677e-05,0.000963627424013528
"ENSG00000136114.17",-0.320045788471756,2.21704471842754e-05,0.00112639173964429
"ENSG00000136193.17",-0.447311965447168,1.08047016482497e-09,1.6145402115911e-06
"ENSG00000136875.13",-0.348891326368635,3.33794785515875e-06,0.000334187604469035
"ENSG00000138193.17",-0.316773101898432,2.71594689504786e-05,0.00130668937452464
"ENSG00000138771.16",-0.3907289604548,1.50392572409027e-07,4.68772852001765e-05
"ENSG00000139364.11",-0.43020458895348,5.29504306100525e-09,4.38895725174617e-06
"ENSG00000139372.15",-0.334995225945371,8.50996577681795e-06,0.00058585002880354
"ENSG00000139880.21",-0.386056111839212,2.1732552038435e-07,6.06672548826773e-05
"ENSG00000139890.10",-0.30154641241999,6.77214719592276e-05,0.00245410635118439
"ENSG00000139970.18",-0.386652157757715,2.07421721329874e-07,5.96659730104741e-05
"ENSG00000139998.16",-0.354479376331565,2.26194044811665e-06,0.000258829158574357
"ENSG00000140522.12",-0.326356621897394,1.4889735950976e-05,0.000865546824628473
"ENSG00000140545.16",-0.328218133448199,1.32175733952906e-05,0.000806319033684341
"ENSG00000140632.17",-0.318108876525922,2.50073209400471e-05,0.00122400958350677
"ENSG00000141076.18",-0.304713774491221,5.62303028392258e-05,0.00216096737607192
"ENSG00000141759.15",-0.309515477602718,4.22440981495926e-05,0.0017739362520686
"ENSG00000142611.17",-0.382776459945967,2.80449294655137e-07,7.26964635931066e-05
"ENSG00000142634.13",-0.307465869462616,4.77579907170141e-05,0.00193032342963389
"ENSG00000143126.8",-0.369238034390204,7.80538471795755e-07,0.000133073951671326
"ENSG00000143318.13",-0.411094447616242,2.82421923551273e-08,1.59430313866066e-05
"ENSG00000144369.14",-0.321328898936133,2.04613720293933e-05,0.00106561252521408
"ENSG00000144407.10",-0.318441681810661,2.44967045971933e-05,0.00121176586416371
"ENSG00000144893.13",-0.330115139822915,1.16971813504251e-05,0.000741006229039524
"ENSG00000145681.11",-0.305867740841089,5.25191110820527e-05,0.00207165058822575
"ENSG00000146216.13",-0.357135491817087,1.87506381404931e-06,0.000233677010198529
"ENSG00000147471.12",-0.306596330947602,5.02957427633765e-05,0.00200575000536586
"ENSG00000147536.12",-0.324640854599149,1.66062944846527e-05,0.000933295793791221
"ENSG00000147576.17",-0.306998664383597,4.91061807016728e-05,0.0019706861111605
"ENSG00000148400.13",-0.35392764859017,2.35131511549616e-06,0.000264294061411279
"ENSG00000149269.10",-0.334515404965331,8.78245290897505e-06,0.000594935069991182
"ENSG00000149636.16",-0.322293736359376,1.92589472480563e-05,0.00103214142814847
"ENSG00000151640.13",-0.375313346640775,4.95903178998293e-07,0.000103352383797086
"ENSG00000151952.16",-0.393643249858354,1.1919350347589e-07,4.29454550400112e-05
"ENSG00000153233.13",-0.339479252493405,6.32267999331001e-06,0.000498804471646131
"ENSG00000153395.10",-0.325174949755425,1.60528766648305e-05,0.000908220993132939
"ENSG00000154027.19",-0.348611476831294,3.40297162165844e-06,0.000337678469160114
