"Gene","R","P","FDR"
"ENSG00000002933.9",0.391692151076504,1.39303336273143e-07,4.58876353039091e-05
"ENSG00000005243.10",0.313838592727173,3.25155441068983e-05,0.00148027305904577
"ENSG00000005884.18",0.301589969663533,6.7549498698745e-05,0.00245410635118439
"ENSG00000006534.17",0.305775555328579,5.28069125540312e-05,0.00207655417896293
"ENSG00000007062.12",0.3426214584228,5.12015733784691e-06,0.000434853041783973
"ENSG00000007908.16",0.387606126811396,1.92464355756366e-07,5.75196709326938e-05
"ENSG00000008226.20",0.321960694442288,1.96662550449556e-05,0.00104734146102098
"ENSG00000009790.15",0.339956939835721,6.12402932751752e-06,0.000492366891931923
"ENSG00000010327.10",0.395299351425709,1.04336800234855e-07,3.89774667112651e-05
"ENSG00000010610.10",0.376900352858119,4.39817872498064e-07,9.59058229977907e-05
"ENSG00000011243.19",0.303484431863808,6.04539057970967e-05,0.00228528358476733
"ENSG00000011600.12",0.30170246200301,6.710724757414e-05,0.00245250202012957
"ENSG00000012171.20",0.321737971944503,1.99431643318786e-05,0.00105294770665526
"ENSG00000013297.12",0.356038308879037,2.02654757571081e-06,0.000245144705075151
"ENSG00000013364.19",0.459946263914678,3.15308453417921e-10,7.07110978701671e-07
"ENSG00000018280.17",0.478433294625721,4.73871761904948e-11,1.33752937418571e-07
"ENSG00000018408.15",0.32944496775147,1.22143460282088e-05,0.000764238995454653
"ENSG00000019582.17",0.404175007856831,5.04836685322235e-08,2.33170296677104e-05
"ENSG00000021355.13",0.303142426999431,6.16807994887107e-05,0.00232474384185715
"ENSG00000025708.14",0.301972810245329,6.6055481800339e-05,0.00243542438922208
"ENSG00000026508.21",0.339539506883326,6.29729007986967e-06,0.000498804471646131
"ENSG00000027644.5",0.318215229022007,2.48430656870788e-05,0.0012183173699785
"ENSG00000027869.12",0.32118343021432,2.06486925390158e-05,0.00106830699912142
"ENSG00000028137.19",0.371367049897563,6.66523793790897e-07,0.000123799726334836
"ENSG00000038945.15",0.373017345158933,5.89276328495858e-07,0.000114799705979989
"ENSG00000047457.14",0.352342666898606,2.62713634535172e-06,0.000288905387796406
"ENSG00000052850.8",0.318335157221501,2.46590637346221e-05,0.00121521518703799
"ENSG00000059377.18",0.304688395295873,5.6314624373484e-05,0.00216096737607192
"ENSG00000060138.13",0.41900944449598,1.42975910578009e-08,9.8162623146302e-06
"ENSG00000061656.11",0.41233278899174,2.54183732992682e-08,1.46750667482116e-05
"ENSG00000064932.16",0.374335904415273,5.33780609294084e-07,0.000110240884698355
"ENSG00000067066.17",0.347332067794927,3.71588238298218e-06,0.000354866767574798
"ENSG00000067182.8",0.34592285947149,4.09211366589054e-06,0.00037312355520777
"ENSG00000068079.8",0.345497596292132,4.21257783268947e-06,0.000376673651768491
"ENSG00000069702.11",0.338700161304226,6.6598378120302e-06,0.000517369602259948
"ENSG00000070214.16",0.401055871994022,6.53133079924937e-08,2.86061028091951e-05
"ENSG00000073008.15",0.337360733950293,7.27966311288077e-06,0.000552015767332866
"ENSG00000074695.6",0.393235300237345,1.23153220601145e-07,4.34508508740401e-05
"ENSG00000076513.17",0.31210850693138,3.61239019501513e-05,0.00160429279937009
"ENSG00000076944.17",0.373916121287403,5.50882708734927e-07,0.000111492124124738
"ENSG00000078114.19",0.347089396755381,3.7782379015526e-06,0.000356797685550709
"ENSG00000078900.15",0.36014033604122,1.51343601751997e-06,0.00020341701139185
"ENSG00000079277.22",0.332626491030957,9.93755884133937e-06,0.000653999500638715
"ENSG00000079974.19",0.370643087660222,7.0338092042768e-07,0.000123799726334836
"ENSG00000080823.23",0.461520248275377,2.69499287455303e-10,6.84609039922706e-07
"ENSG00000081237.20",0.398405099818592,8.11258887455114e-08,3.27117611397179e-05
"ENSG00000085063.17",0.347195915316152,3.75074601687324e-06,0.000355523138308324
"ENSG00000085871.9",0.302092487179915,6.55948431237214e-05,0.00242195610446496
"ENSG00000086062.13",0.366056982756394,9.86165418761348e-07,0.000154639260078979
"ENSG00000087303.19",0.307162073972183,4.86306236889029e-05,0.00195778721643296
"ENSG00000088826.18",0.375301183304834,4.96358336544681e-07,0.000103352383797086
"ENSG00000088827.13",0.353115870159861,2.48894601633191e-06,0.000276099107654496
"ENSG00000090339.9",0.456057676438898,4.631194370423e-10,7.84308203945703e-07
"ENSG00000091262.17",0.300069507431397,7.38015159496935e-05,0.00261111408032042
"ENSG00000092850.12",0.361361528015528,1.3863571949748e-06,0.000191400172956222
"ENSG00000096093.16",0.302358826385788,6.45804892274977e-05,0.0023949462304323
"ENSG00000099937.11",0.309041057318574,4.34644008160337e-05,0.00180708048106335
"ENSG00000100055.21",0.313329631621799,3.3540198282837e-05,0.00151605277042511
