"Gene","R","P","FDR"
"ENSG00000002746.15",-0.240584262162892,0.00162827637449673,0.0215008921045491
"ENSG00000003249.15",-0.314734562407693,3.07829932581089e-05,0.00142178250497407
"ENSG00000004139.14",-0.344497506654338,4.50928139567017e-06,0.000394997501014515
"ENSG00000004399.13",-0.285172528407255,0.000171230351837691,0.00472909646013552
"ENSG00000005108.17",-0.267245432442253,0.000443890530043593,0.00900114769438693
"ENSG00000005469.12",-0.305171227058857,5.47306039265484e-05,0.00212587390144665
"ENSG00000006210.7",-0.257055365022768,0.000741399794461036,0.0125224594273229
"ENSG00000006468.14",-0.303915893309041,5.89387552330829e-05,0.00224134910057785
"ENSG00000006634.8",-0.248882895015754,0.00110253513406987,0.0164654321051011
"ENSG00000006652.15",-0.285829783207679,0.000165148917749526,0.00462035017355861
"ENSG00000007080.11",-0.247657455456126,0.00116883954091281,0.0171037044111798
"ENSG00000007372.25",-0.33936389239082,6.37156132025426e-06,0.000500840805088308
"ENSG00000008382.16",-0.286415449070891,0.000159900141523038,0.00454356073278492
"ENSG00000008838.21",-0.284219051696649,0.000180424511249833,0.00490195065163585
"ENSG00000008853.18",-0.337807730237902,7.06697696773025e-06,0.000540730168407384
"ENSG00000009844.16",-0.230371932278109,0.00258470460782881,0.0289831625473239
"ENSG00000010256.11",-0.219608007487556,0.00412003769419091,0.0390964951608262
"ENSG00000011376.12",-0.268760563960203,0.000410576680640723,0.00859133395248458
"ENSG00000011451.21",-0.223282119236274,0.0035222067159949,0.0353654613464105
"ENSG00000012048.23",-0.243092984844339,0.00144921764217623,0.0198459548209244
"ENSG00000012963.15",-0.248304480119261,0.00113338944575077,0.0167489773649835
"ENSG00000013810.21",-0.263133752898186,0.000547305247705354,0.0102606606697115
"ENSG00000022976.16",-0.230101989024496,0.00261578260789334,0.0291186352271317
"ENSG00000023171.20",-0.236440377051144,0.00196868523188683,0.0243134464645026
"ENSG00000025770.19",-0.263696231310325,0.000531952019910104,0.0100694315661523
"ENSG00000025772.8",-0.317711764247558,2.56297299676602e-05,0.00124952556050278
"ENSG00000026559.14",-0.350726332639547,2.93994657092799e-06,0.000308609350170594
"ENSG00000031003.11",-0.311194232117454,3.8179732776396e-05,0.00166075299951847
"ENSG00000031823.14",-0.264070217518842,0.000521964995717748,0.00995456215181529
"ENSG00000035141.8",-0.274266609087194,0.000308032740889272,0.00702715645083826
"ENSG00000035664.11",-0.219922601811796,0.00406548981119252,0.0388306440592208
"ENSG00000037897.17",-0.336474422792003,7.71944688811286e-06,0.000566651277813865
"ENSG00000038358.15",-0.224130399962548,0.00339581332933414,0.0344779560372003
"ENSG00000040608.14",-0.289290163390323,0.000136318083410176,0.00406032745087492
"ENSG00000041982.16",-0.233234902396547,0.00227509464256099,0.0265476477744496
"ENSG00000042429.12",-0.226152026554473,0.00311093012899733,0.0325347707150758
"ENSG00000047056.17",-0.336362465896515,7.77675724688456e-06,0.000566651277813865
"ENSG00000048828.17",-0.223229697756886,0.00353015490415712,0.0353797131282603
"ENSG00000049246.15",-0.339955092664558,6.12478596427539e-06,0.000492366891931923
"ENSG00000049323.16",-0.268677584882957,0.0004123395433775,0.00860695268727907
"ENSG00000049449.10",-0.292036912027995,0.00011685543802869,0.00362894705653155
"ENSG00000049759.20",-0.350797385092018,2.92548185793719e-06,0.000308365210112773
"ENSG00000050165.19",-0.24620766750571,0.00125198827543155,0.0179583614685419
"ENSG00000051341.15",-0.31193548636546,3.65047837549436e-05,0.00161338087583457
"ENSG00000051382.9",-0.279765409225887,0.000229787784031042,0.00577950403736689
"ENSG00000053747.17",-0.227631919315541,0.00291627342223012,0.031263525551678
"ENSG00000054523.20",-0.230720408883705,0.00254508005304624,0.0287062554844986
"ENSG00000054938.17",-0.319705707368772,2.26455039669946e-05,0.00114366548165718
"ENSG00000055163.20",-0.311998448678908,3.63657453704408e-05,0.00161221471142288
"ENSG00000057252.13",-0.258713242754294,0.00068298001003558,0.0119157874448335
"ENSG00000057593.14",-0.213792196275893,0.00525429410866672,0.046436610274539
"ENSG00000058335.16",-0.213863037580698,0.00523894420499134,0.046354893639636
"ENSG00000058804.12",-0.407675834228239,3.76912977121011e-08,1.91494407156101e-05
"ENSG00000060140.9",-0.26277734247501,0.000557244350312776,0.0104085869345555
"ENSG00000061337.15",-0.211804357873053,0.00570176780713622,0.0490325008817472
"ENSG00000062822.16",-0.335751109163173,8.0968866704001e-06,0.000571347811356038
"ENSG00000063015.21",-0.246431603660382,0.00123880125929209,0.0178318033777913
"ENSG00000063180.9",-0.275340531231882,0.000291037456997179,0.0067703521246331
"ENSG00000063322.15",-0.236515932156632,0.00196193893984193,0.0242762469015122
"ENSG00000064490.14",-0.371039947869483,6.82942279048403e-07,0.000123799726334836
"ENSG00000064726.10",-0.254752631114984,0.00083019001265957,0.0134926166203879
"ENSG00000064961.19",-0.251461091784119,0.000974149678995851,0.0151353665416095
"ENSG00000065328.17",-0.250520539886929,0.00101930545372988,0.0156078459560579
"ENSG00000065491.8",-0.24762168148351,0.00117082888551617,0.0171158521247599
"ENSG00000065559.15",-0.233121212998148,0.00228671701748189,0.0266099278035238
"ENSG00000065621.15",-0.265492460919814,0.000485545578146403,0.00959122420035231
"ENSG00000065802.12",-0.327996000507787,1.34073531908731e-05,0.000812856785460021
"ENSG00000065989.16",-0.212563973229844,0.00552690308274129,0.0481480565586069
"ENSG00000066136.21",-0.299141097653412,7.78815353160581e-05,0.00271017074196414
"ENSG00000066382.17",-0.283209217554738,0.00019066227856073,0.00509294833047133
"ENSG00000066468.24",-0.386625106881326,2.0786167404266e-07,5.96659730104741e-05
"ENSG00000067191.16",-0.301577111732897,6.7600221896809e-05,0.00245410635118439
"ENSG00000067836.13",-0.211825125334952,0.00569692211210195,0.0490211304519486
"ENSG00000068489.13",-0.286728853923934,0.000157155692971721,0.00447558976296035
"ENSG00000068745.15",-0.221678636564652,0.00377276943031612,0.0371040115518082
"ENSG00000069966.19",-0.258206902221082,0.000700356140204892,0.0120617945963558
"ENSG00000070413.20",-0.246106942065139,0.00125796150922347,0.0180135266171385
"ENSG00000070501.12",-0.225218239507974,0.00323971944760947,0.0334139639170213
"ENSG00000070808.17",-0.349501824755339,3.20017060106568e-06,0.000325175735115485
"ENSG00000070882.13",-0.272793856227907,0.000332839766150758,0.00744188386579705
