"Gene","R","P","FDR"
"ENSG00000000938.13",0.212335382012798,0.00557901376562624,0.0484028984590858
"ENSG00000000971.17",0.295586998602721,9.55357708648589e-05,0.00316001977510418
"ENSG00000001084.13",0.241797614736651,0.00153929612067256,0.0207461400662734
"ENSG00000002933.9",0.391692151076504,1.39303336273143e-07,4.58876353039091e-05
"ENSG00000003400.16",0.245860225556109,0.00127270263825611,0.0181427974857575
"ENSG00000003402.21",0.220463620156065,0.00397319934267269,0.0383040542322256
"ENSG00000004939.16",0.219673293476178,0.00410866386030996,0.0390560942057782
"ENSG00000005243.10",0.313838592727173,3.25155441068983e-05,0.00148027305904577
"ENSG00000005844.19",0.269229925669767,0.000400735881771994,0.00844103947317906
"ENSG00000005884.18",0.301589969663533,6.7549498698745e-05,0.00245410635118439
"ENSG00000005961.19",0.213521042104496,0.00531342049159272,0.0467857264290918
"ENSG00000006282.21",0.218726842224247,0.00427634460110443,0.0400412760419668
"ENSG00000006327.14",0.219024072285891,0.00422303429315399,0.0397250958358867
"ENSG00000006459.11",0.221135619900337,0.00386119242895023,0.0376823852424299
"ENSG00000006534.17",0.305775555328579,5.28069125540312e-05,0.00207655417896293
"ENSG00000007062.12",0.3426214584228,5.12015733784691e-06,0.000434853041783973
"ENSG00000007384.15",0.297261213572899,8.67983490174418e-05,0.00292820512628164
"ENSG00000007908.16",0.387606126811396,1.92464355756366e-07,5.75196709326938e-05
"ENSG00000008226.20",0.321960694442288,1.96662550449556e-05,0.00104734146102098
"ENSG00000008405.12",0.29996067639558,7.42692078391633e-05,0.00262110652640129
"ENSG00000009790.15",0.339956939835721,6.12402932751752e-06,0.000492366891931923
"ENSG00000010282.15",0.249472052708487,0.00107190074957866,0.0161025989009738
"ENSG00000010327.10",0.395299351425709,1.04336800234855e-07,3.89774667112651e-05
"ENSG00000010379.16",0.276802068215443,0.000269303960689617,0.00636384047757986
"ENSG00000010610.10",0.376900352858119,4.39817872498064e-07,9.59058229977907e-05
"ENSG00000010626.15",0.287223008908706,0.000152917527577543,0.00440863654249529
"ENSG00000011243.19",0.303484431863808,6.04539057970967e-05,0.00228528358476733
"ENSG00000011304.22",0.233048772889569,0.00229415059521034,0.0266719943112715
"ENSG00000011478.13",0.257234634820041,0.000734867980748332,0.0124618500099799
"ENSG00000011600.12",0.30170246200301,6.710724757414e-05,0.00245250202012957
"ENSG00000012061.16",0.235323365223077,0.00207091579535597,0.0250813120919503
"ENSG00000012171.20",0.321737971944503,1.99431643318786e-05,0.00105294770665526
"ENSG00000012223.13",0.24276421172813,0.00147161242827522,0.0200026942642773
"ENSG00000012779.12",0.241479237022944,0.00156220424432929,0.0209307354528992
"ENSG00000012822.16",0.237697525089646,0.00185913537400501,0.0234372212653351
"ENSG00000013297.12",0.356038308879037,2.02654757571081e-06,0.000245144705075151
"ENSG00000013364.19",0.459946263914678,3.15308453417921e-10,7.07110978701671e-07
"ENSG00000013523.11",0.290035501579668,0.000130757294581219,0.00395903164987687
"ENSG00000013588.9",0.215414689905306,0.00491264791685192,0.044166759871369
"ENSG00000015568.13",0.22457376233682,0.00333139409902367,0.034114704277759
"ENSG00000018280.17",0.478433294625721,4.73871761904948e-11,1.33752937418571e-07
"ENSG00000018408.15",0.32944496775147,1.22143460282088e-05,0.000764238995454653
"ENSG00000019582.17",0.404175007856831,5.04836685322235e-08,2.33170296677104e-05
"ENSG00000021355.13",0.303142426999431,6.16807994887107e-05,0.00232474384185715
"ENSG00000023892.11",0.298657337225734,8.00903146499548e-05,0.0027496269680061
"ENSG00000024422.12",0.268694033823451,0.000411989535406074,0.00860671888809251
"ENSG00000024862.18",0.22159033585417,0.0037870226939035,0.0371793968327371
"ENSG00000025156.13",0.231465192483299,0.00246223207587912,0.0280862512005197
"ENSG00000025708.14",0.301972810245329,6.6055481800339e-05,0.00243542438922208
"ENSG00000026297.17",0.267183773655651,0.000445297771805039,0.00901998777882047
"ENSG00000026508.21",0.339539506883326,6.29729007986967e-06,0.000498804471646131
"ENSG00000027001.10",0.236468770864552,0.00196614748591246,0.0243134464645026
"ENSG00000027644.5",0.318215229022007,2.48430656870788e-05,0.0012183173699785
"ENSG00000027697.16",0.279934345831688,0.000227706200249383,0.00576137510451702
"ENSG00000027869.12",0.32118343021432,2.06486925390158e-05,0.00106830699912142
"ENSG00000028137.19",0.371367049897563,6.66523793790897e-07,0.000123799726334836
"ENSG00000030419.17",0.221012641438081,0.00388147512193472,0.0377782040316122
"ENSG00000034152.19",0.271826186738138,0.000350134238751593,0.00766317928320684
"ENSG00000034677.13",0.245088654695504,0.00131982920894537,0.0185954638906485
"ENSG00000038945.15",0.373017345158933,5.89276328495858e-07,0.000114799705979989
"ENSG00000039068.20",0.241756682122051,0.00154222405712753,0.0207725968839929
"ENSG00000039139.11",0.280785435367271,0.00021748349161724,0.00554692082083608
"ENSG00000043462.13",0.261565637475828,0.000592294136102073,0.0107927458697993
"ENSG00000047457.14",0.352342666898606,2.62713634535172e-06,0.000288905387796406
"ENSG00000048471.14",0.223884340665492,0.00343204795704076,0.0347624857466931
"ENSG00000049540.19",0.289350001085601,0.000135863625772509,0.00406032745087492
"ENSG00000052850.8",0.318335157221501,2.46590637346221e-05,0.00121521518703799
"ENSG00000053328.9",0.216999901370117,0.00459822214620455,0.0423187045907429
"ENSG00000054598.9",0.254954676472286,0.000822024988303899,0.0134116254193217
"ENSG00000054690.14",0.247450004200152,0.0011804188500187,0.0172136510028847
"ENSG00000055118.17",0.278474372276738,0.000246289727298511,0.00604563170146625
"ENSG00000056558.11",0.212525319544812,0.00553568405416317,0.0481585554890093
"ENSG00000059377.18",0.304688395295873,5.6314624373484e-05,0.00216096737607192
"ENSG00000060138.13",0.41900944449598,1.42975910578009e-08,9.8162623146302e-06
"ENSG00000060709.16",0.263756377270214,0.00053033405030609,0.0100612964002432
"ENSG00000061273.18",0.222226763213624,0.00368536796482216,0.0365053564573415
"ENSG00000061656.11",0.41233278899174,2.54183732992682e-08,1.46750667482116e-05
