# ALPHA = 0.05
# NUMBER_OF_TESTS = 4

# _SET1_  VARIABLE = Postnatal_Negative (set)
# _SET1_  NGENES = 541
# _SET1_  P-VALUE = 0.00133967
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   116983        1    1217764    1278304    221      31  23602       1.7094     0.025667    2.2204e-16       1.7094
_SET1_   80772         1    1225136    1274276    174      25  24029       1.4161     0.049088    2.2204e-16       1.4161
_SET1_   339453        1    1460158    1510740    202      26  25002       1.4008     0.049152    2.2204e-16       1.4008
_SET1_   142678        1    1515795    1575990    226      38  27134     -0.11149       0.4201    3.1919e-16     -0.11149
_SET1_   2563          1    1915768    1972192    250      47  26885      0.11732      0.34432    3.1919e-16      0.11732
_SET1_   26038         1    6151847    6275194    429      49  27171     -0.73968       0.6566    3.3307e-16     -0.73968
_SET1_   388591        1    6231189    6291359    148      19  28448    -0.077348      0.39241    3.1919e-16    -0.077348
_SET1_   11332         1    6314332    6488826    598      23  25547     -0.26137      0.46229    3.3307e-16     -0.26137
_SET1_   23261         1    6810384    7839766   3393     237  27132      0.65959     0.065156    3.3307e-16      0.65959
_SET1_   50651         1    8343171    8414227    235      35  29300       2.2088    0.0046991    4.4409e-16       2.2088
_SET1_   1325          1   10474776   10522060    167      22  27499     -0.15707      0.44582    3.0531e-16     -0.15707
_SET1_   79814         1   15888194   15946605    251      15  27558     -0.38971      0.52141    3.3307e-16     -0.38971
_SET1_   23400         1   17302453   17373467    178      17  25814        1.621     0.030501    2.2204e-16        1.621
_SET1_   84966         1   18399240   18714977   1314     158  26737      -0.9712       0.6863    3.3307e-16      -0.9712
_SET1_   65018         1   20924948   20988004    338      26  28636      0.83875      0.11292    3.3307e-16      0.83875
_SET1_   57576         1   20980475   21079317    345      65  26956      -1.0816      0.77717    2.2204e-16      -1.0816
_SET1_   2048          1   23002263   23251823    721      94  28051       2.5428    0.0015959    4.4409e-16       2.5428
_SET1_   2134          1   26313266   26372955    118      14  28365      0.13784      0.31646    3.0531e-16      0.13784
_SET1_   7780          1   26354513   26408439    135      15  29730     0.038521      0.33296    3.1919e-16     0.038521
_SET1_   10256         1   26468981   26526375    174      21  29158     -0.61465      0.59763    3.3307e-16     -0.61465
_SET1_   3208          1   33316688   33370247     74      17  25116    -0.044493      0.41817    3.1919e-16    -0.044493
_SET1_   252995        1   33317869   33373093     75      17  24807    -0.064312      0.42828    3.1919e-16    -0.064312
_SET1_   113451        1   33511711   33596132    177      15  26608      0.89019       0.1178    3.3307e-16      0.89019
_SET1_   79729         1   36736889   36803544    160      21  24866      -1.5827      0.91561    2.2204e-16      -1.5827
_SET1_   149175        1   38224721   38277278    149      18  25649     0.034188      0.39114    3.1919e-16     0.034188
_SET1_   284716        1   42811468   42899900    273      15  28679       0.4508      0.21082    3.3307e-16       0.4508
_SET1_   8643          1   45275516   45344226    198      18  23918       2.2662    0.0064676    4.4409e-16       2.2662
_SET1_   22996         1   51742930   51845785    149      34  21909     -0.32036      0.58001    3.3307e-16     -0.32036
_SET1_   84251         1   66964066   67220768    912      36  27412      -1.3421       0.8123    2.2204e-16      -1.3421
_SET1_   255631        1   86184916   86657121   2023      74  27210      0.25169      0.16036    3.3307e-16      0.25169
_SET1_   22854         1  107647540  108034477    982      98  26000     -0.64197      0.58643    3.3307e-16     -0.64197
_SET1_   83873         1  110047494  110098487    140      19  23430     0.026002      0.40344    3.1919e-16     0.026002
_SET1_   3737          1  111126202  111209096    211      31  26939       1.0183     0.099295    2.2204e-16       1.0183
_SET1_   10745         1  114229824  114337165    197      23  24404       2.0421     0.011186    4.4409e-16       2.0421
_SET1_   284615        1  145435508  145485647     97      16  24123      -2.3781      0.98506    4.4409e-16      -2.3781
_SET1_   9900          1  149864870  149924434     42      17  19339     -0.41908        0.579    3.3307e-16     -0.41908
_SET1_   10500         1  151094161  151154146     98      24  21609     -0.17031      0.50005    3.0531e-16     -0.17031
_SET1_   4014          1  153197179  153244600    235      28  28714       0.2036      0.28819    3.0531e-16       0.2036
_SET1_   1141          1  154505257  154562354    126      18  25433       2.1532    0.0080054    4.4409e-16       2.1532
_SET1_   80128         1  155110702  155167447     90       9  26746     -0.40916      0.55016    3.3307e-16     -0.40916
_SET1_   23623         1  155255640  155310909     69       9  22872      0.55096       0.2274    3.3307e-16      0.55096
_SET1_   149297        1  166016663  166170992    441      29  27306      -1.6431      0.90262    2.2204e-16      -1.6431
_SET1_   22920         1  169880461  170078882    563      42  26308     -0.82246      0.67649    3.3307e-16     -0.82246
_SET1_   9462          1  178027864  178458649    764      26  26776      -1.0029      0.72005    2.2204e-16      -1.0029
_SET1_   23046         1  200928514  201027828    304      29  25294       2.3354    0.0045374    4.4409e-16       2.3354
_SET1_   10446         1  204576298  204689597    377      50  26350     -0.95339      0.74453    3.3307e-16     -0.95339
_SET1_   56950         1  214419565  214520477    304      24  24993       1.9262     0.014018    2.2204e-16       1.9262
_SET1_   4139          1  220666568  220847799    399      23  19670       2.7219     0.001441    4.4409e-16       2.7219
_SET1_   55061         1  223384161  223572564    583      29  28214       1.7282     0.015911    2.2204e-16       1.7282
_SET1_   80003         1  233109855  233466459   1338      91  27362      -1.9332      0.91535    2.2204e-16      -1.9332
_SET1_   6000          1  240928817  241555505   2282     178  25690      0.58053      0.09941    3.3307e-16      0.58053
_SET1_   10472         1  244177241  244230778    127      27  25972     0.019906      0.38465    3.1919e-16     0.019906
_SET1_   23040         2    1782885    2370147   1632     104  26746      0.17992      0.21609    3.0531e-16      0.17992
_SET1_   7260          2    3182741    3416653   1102      40  28043      0.79044     0.092223    3.3307e-16      0.79044
_SET1_   3754          2   11017063   11064351    213      27  28305     -0.13144      0.42141    3.0531e-16     -0.13144
_SET1_   81553         2   16720727   16882134    528      76  23442     -0.76359      0.68402    3.3307e-16     -0.76359
_SET1_   3797          2   26139455   26240443    177      31  23228     -0.79159      0.72787    3.3307e-16     -0.79159
_SET1_   285126        2   27463289   27515214     79       9  22657     -0.78208      0.71736    3.3307e-16     -0.78208
_SET1_   7781          2   27467440   27536093    103      10  23052      -1.1633      0.82876    2.2204e-16      -1.1633
_SET1_   57159         2   27470297   27540307    100      10  22659      -1.1712      0.83187    2.2204e-16      -1.1712
_SET1_   79623         2   31123331   31396592   1139     105  25558       1.1234     0.059567    2.2204e-16       1.1234
_SET1_   5581          2   45843454   46425129   2209     232  26959       1.8229    0.0054753    2.2204e-16       1.8229
_SET1_   9378          2   50135643   51294674   3858     152  28033       0.8252     0.044994    3.3307e-16       0.8252
_SET1_   114800        2   56376258   56623309    779      80  27818     -0.62474      0.57931    3.3307e-16     -0.62474
_SET1_   53335         2   60668302   60815633    235      55  24196       2.2792    0.0057918    4.4409e-16       2.2792
_SET1_   119           2   70878334   71030375    510      32  27562     -0.32217      0.48448    3.3307e-16     -0.32217
_SET1_   2016          2   73109604   73172020     78      16  22731        3.133   0.00046698    4.4409e-16        3.133
