# ALPHA = 0.05
# NUMBER_OF_TESTS = 4

# _SET1_  VARIABLE = Postnatal_Negative (set)
# _SET1_  NGENES = 536
# _SET1_  P-VALUE = 1.8422e-05
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   116983        1    1217764    1278304     35       4  31844       2.4526    0.0029215    4.4409e-16       2.4526
_SET1_   80772         1    1225136    1274276     30       3  31844       2.3094    0.0045229    4.4409e-16       2.3094
_SET1_   339453        1    1460158    1510740     50       6  31405       1.5902      0.03196    2.2204e-16       1.5902
_SET1_   142678        1    1515795    1575990      8       2  31156     -0.95253      0.75035    2.2204e-16     -0.95253
_SET1_   2563          1    1915768    1972192     65      10  31757     0.054154      0.36127    2.7062e-16     0.054154
_SET1_   26038         1    6151847    6275194    149      19  31830      -0.4293      0.54056    2.7756e-16      -0.4293
_SET1_   388591        1    6231189    6291359     57       8  31777      0.14415      0.32191    2.7756e-16      0.14415
_SET1_   11332         1    6314332    6488826    215      10  29847     -0.41026      0.60208    2.7756e-16     -0.41026
_SET1_   23261         1    6810384    7839766   1757     144  31560      0.30913      0.11221    2.7756e-16      0.30913
_SET1_   50651         1    8343171    8414227    106      13  34017       2.1042    0.0035512    4.4409e-16       2.1042
_SET1_   1325          1   10474776   10522060     66      11  31103     -0.39948      0.56094    2.7756e-16     -0.39948
_SET1_   79814         1   15888194   15946605    167       8  31574     -0.26093       0.4773    2.7756e-16     -0.26093
_SET1_   23400         1   17302453   17373467    112       7  31832         1.64     0.025404    2.2204e-16         1.64
_SET1_   84966         1   18399240   18714977    653      86  31683      -1.2868      0.79677    2.2204e-16      -1.2868
_SET1_   65018         1   20924948   20988004    238      22  31714      0.78224      0.12727    2.2204e-16      0.78224
_SET1_   57576         1   20980475   21079317    157      29  31615     -0.56222      0.60213    2.2204e-16     -0.56222
_SET1_   2048          1   23002263   23251823    392      47  31303       2.1541     0.006192    4.4409e-16       2.1541
_SET1_   2134          1   26313266   26372955     69       6  31640    -0.061729      0.40846    2.7062e-16    -0.061729
_SET1_   7780          1   26354513   26408439     59       6  31777    -0.013168      0.38243    2.6888e-16    -0.013168
_SET1_   10256         1   26468981   26526375     92       8  31773      -1.1095       0.7888    2.2204e-16      -1.1095
_SET1_   3208          1   33316688   33370247     32       5  31695      -1.1725      0.80656    2.2204e-16      -1.1725
_SET1_   252995        1   33317869   33373093     32       5  31695      -1.1725      0.80656    2.2204e-16      -1.1725
_SET1_   113451        1   33511711   33596132    121       8  31539      0.87555      0.12043    2.2204e-16      0.87555
_SET1_   79729         1   36736889   36803544     28       7  31508      -3.2699       0.9985    4.4409e-16      -3.2699
_SET1_   149175        1   38224721   38277278     58       6  31651      0.41613      0.24227    2.7756e-16      0.41613
_SET1_   284716        1   42811468   42899900    184      10  31782       0.4281       0.2201    2.7756e-16       0.4281
_SET1_   8643          1   45275516   45344226    115       7  31803       2.2654     0.005022    4.4409e-16       2.2654
_SET1_   22996         1   51742930   51845785     30       5  31571      0.55067      0.19926    2.2204e-16      0.55067
_SET1_   84251         1   66964066   67220768    496      21  31590     -0.83865      0.63994    2.2204e-16     -0.83865
_SET1_   255631        1   86184916   86657121   1145      50  31168     -0.10956      0.24283    2.6368e-16     -0.10956
_SET1_   22854         1  107647540  108034477    276      42  31590    -0.087057      0.40442    2.6368e-16    -0.087057
_SET1_   83873         1  110047494  110098487     72       6  31417      0.15422       0.3392    2.7756e-16      0.15422
_SET1_   3737          1  111126202  111209096    144      18  31645      0.96786      0.10209    2.2204e-16      0.96786
_SET1_   10745         1  114229824  114337165    104       8  30649       2.2268    0.0078949    4.4409e-16       2.2268
_SET1_   284615        1  145435508  145485647     56       6  30702       -1.789      0.94504    2.2204e-16       -1.789
_SET1_   9900          1  149864870  149924434     12       3  31392     -0.37015      0.53182    2.7756e-16     -0.37015
_SET1_   10500         1  151094161  151154146     26       5  31505     -0.10664      0.42464    2.6368e-16     -0.10664
_SET1_   4014          1  153197179  153244600    164      18  31705      0.36962       0.2425    2.7756e-16      0.36962
_SET1_   1141          1  154505257  154562354     64       7  31684       2.1307    0.0074989    4.4409e-16       2.1307
_SET1_   80128         1  155110702  155167447     47       2  31796     -0.97501      0.75621    2.2204e-16     -0.97501
_SET1_   23623         1  155255640  155310909     30       1  31844      0.60926      0.19227    2.2204e-16      0.60926
_SET1_   149297        1  166016663  166170992    268      13  31787      -1.4143      0.84934    2.2204e-16      -1.4143
_SET1_   22920         1  169880461  170078882    148      16  31545     -0.19332      0.45464    2.7756e-16     -0.19332
_SET1_   9462          1  178027864  178458649    288      11  31588     -0.58375      0.58143    2.2204e-16     -0.58375
_SET1_   23046         1  200928514  201027828    189      18  31566        1.962     0.011261    2.2204e-16        1.962
_SET1_   10446         1  204576298  204689597    178      22  31378     -0.86131      0.71858    2.2204e-16     -0.86131
