# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
GENE       CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT  ZFITTED_BASE  ZRESID_BASE
148398       1     824993     889961     85      12  31844      0.89126    2.2204e-16      0.89126
339451       1     860967     911099     77      12  31731       1.2859    2.2204e-16       1.2859
84069        1     866872     920488     82      14  31738       1.5579    2.2204e-16       1.5579
26155        1     869583     929679     96      17  31727       1.5878    2.2204e-16       1.5878
84808        1     900579     952473     86      12  31581       1.3764    2.2204e-16       1.3764
9636         1     913847     959920     76       9  31647        1.229    2.2204e-16        1.229
375790       1     920503    1001499     90      11  31136       1.2523    2.2204e-16       1.2523
57801        1     924342     971608     57       8  31485       1.0829    2.2204e-16       1.0829
401934       1     997126    1044687     12       3  31804     -0.26906    2.7756e-16     -0.26906
54991        1    1007198    1086736     27       5  31662     -0.71167    2.2204e-16     -0.71167
254173       1    1074286    1143315     71       6  31702     -0.44181    2.7756e-16     -0.44181
8784         1    1128888    1177163    116       4  31834       3.4982    4.4409e-16       3.4982
126792       1    1132629    1180421    122       4  31826        3.514    4.4409e-16        3.514
7293         1    1136706    1184703    120       4  31825       3.5544    4.4409e-16       3.5544
51150        1    1142288    1202447    121       3  31882       3.6024    4.4409e-16       3.6024
388581       1    1167826    1217102     37       2  31584       3.7812    4.4409e-16       3.7812
118424       1    1179292    1244234     48       6  31644       3.4458    4.4409e-16       3.4458
6339         1    1180816    1237409     33       5  31587       3.7548    4.4409e-16       3.7548
126789       1    1208962    1257057     33       4  31381       2.4708    4.4409e-16       2.4708
116983       1    1217764    1278304     35       4  31844       2.4526    4.4409e-16       2.4526
80772        1    1225136    1274276     30       3  31844       2.3094    4.4409e-16       2.3094
83756        1    1231726    1279844     22       2  31844       2.3805    4.4409e-16       2.3805
54973        1    1236965    1295067     17       2  31844       2.4002    4.4409e-16       2.4002
1855         1    1260658    1319509      7       3  26391       2.3151    4.4409e-16       2.3151
54587        1    1278071    1332183     11       4  23367       0.7501    2.2204e-16       0.7501
54998        1    1299110    1345818     28       4  28981     0.028422    2.7062e-16     0.028422
81669        1    1311091    1369718     64       4  29991      -0.3079    2.7756e-16      -0.3079
643965       1    1326508    1373167     58       3  30749     -0.43162    2.7756e-16     -0.43162
55052        1    1327276    1377693     58       3  30749     -0.43162    2.7756e-16     -0.43162
64856        1    1335903    1388262     53       3  30808     -0.43851    2.7756e-16     -0.43851
219293       1    1343152    1415538     43       3  30080     -0.65349    2.2204e-16     -0.65349
441869       1    1343800    1391824     40       2  30838     -0.60654    2.2204e-16     -0.60654
83858        1    1372139    1454852     19       3  24286      0.89483    2.2204e-16      0.89483
55210        1    1412523    1480067     47       5  28664        1.795    2.2204e-16        1.795
339453       1    1460158    1510740     50       6  31405       1.5902    2.2204e-16       1.5902
29101        1    1467053    1545262     48       7  31691       1.2434    2.2204e-16       1.2434
142678       1    1515795    1575990      8       2  31156     -0.95253    2.2204e-16     -0.95253
643988       1    1523388    1570476      3       1  31259     -0.30378    2.7756e-16     -0.30378
8510         1    1532060    1580030      1       1  31844      -0.9597    2.2204e-16      -0.9597
984          1    1561100    1625473      1       1  30728      0.57307    2.2204e-16      0.57307
728661       1    1581486    1659243      1       1  30728      0.57307    2.2204e-16      0.57307
728642       1    1623822    1690999     10       2  31844       1.1021    2.2204e-16       1.1021
9906         1    1646277    1712438     24       5  31798       1.3479    2.2204e-16       1.3479
65220        1    1672671    1746508     37       6  31760        1.115    2.2204e-16        1.115
2782         1    1706725    1857552     94      11  31686      0.73054    2.2204e-16      0.73054
163688       1    1811266    1858733     46       5  31680      0.29442    2.7756e-16      0.29442
339456       1    1839029    1885740     60       5  31555     -0.35448    2.7756e-16     -0.35448
85452        1    1843390    1970276    172      22  31697     -0.87971    2.2204e-16     -0.87971
2563         1    1915768    1972192     65      10  31757     0.054154    2.7062e-16     0.054154
5590         1    1946909    2126834    337      20  31705      0.20896    2.7756e-16      0.20896
100506504    1    2103250    2150812     51       8  31862      0.26917    2.7756e-16      0.26917
199990       1    2105899    2179159     59       9  31820       0.4142    2.7756e-16       0.4142
6497         1    2125134    2251652     88      21  30706      0.58277    2.2204e-16      0.58277
79906        1    2241719    2358190    129      30  31189      -1.0188    2.2204e-16      -1.0188
11079        1    2288214    2346883     73      16  30803      -1.6242    2.2204e-16      -1.6242
5192         1    2326241    2379010     75      16  31056     -0.30227    2.7756e-16     -0.30227
9651         1    2372754    2446964     69       8  32040      0.84978    2.2204e-16      0.84978
55229        1    2429975    2493061     45       2  31844      0.29775    2.7756e-16      0.29775
388585       1    2450184    2496684     13       2  31844     -0.21181    2.7756e-16     -0.21181
8764         1    2452291    2505268     17       2  31844     -0.49692    2.7756e-16     -0.49692
127281       1    2482899    2532908     14       2  31827     -0.31333    2.7756e-16     -0.31333
79258        1    2512078    2599499     10       2  31820    0.0020174    2.6932e-16    0.0020174
100287898    1    2562807    2741230     36       2  31612      -1.2381    2.2204e-16      -1.2381
140625       1    2903046    2949467     72       6  31015       0.7791    2.2204e-16       0.7791
63976        1    2950565    3365185    651      73  31424       1.0153    2.2204e-16       1.0153
27237        1    3336147    3407677     94      12  31623     -0.67546    2.2204e-16     -0.67546
1953         1    3394506    3563059    237      32  31657      0.41314    2.7756e-16      0.41314
127262       1    3506556    3556695     85      10  31776       1.2563    2.2204e-16       1.2563
7161         1    3534129    3662765    188      29  31487      0.99361    2.2204e-16      0.99361
49856        1    3537331    3601671     76      11  31780       1.9711    2.2204e-16       1.9711
148870       1    3633965    3698209    105       9  31778      -2.0073    4.4409e-16      -2.0073
388588       1    3654352    3702546     85       9  31804      -1.4276    2.2204e-16      -1.4276
57470        1    3686784    3748068    167      10  31815    -0.012328    2.6888e-16    -0.012328
9731         1    3718645    3808797    326      17  31832     -0.29373    2.7756e-16     -0.29373
1677         1    3738845    3811993    278      18  31823     -0.39156    2.7756e-16     -0.39156
339448       1    3795697    3851857     89      11  31477      0.30383    2.7756e-16      0.30383
55966        1    4680105    4853851    406      54  31447       1.6173    2.2204e-16       1.6173
261734       1    5912870    6087618    318      10  31771       1.9679    2.2204e-16       1.9679
8514         1    6017358    6171253    252      28  31734       2.0902    4.4409e-16       2.0902
26038        1    6151847    6275194    149      19  31830      -0.4293    2.7756e-16      -0.4293
388591       1    6231189    6291359     57       8  31777      0.14415    2.7756e-16      0.14415
6146         1    6235080    6294679     56       8  31780     0.067194    2.6368e-16     0.067194
390992       1    6269252    6315638     38       4  30978      0.79437    2.2204e-16      0.79437
23463        1    6271253    6331044     45       5  28860      0.93417    2.2204e-16      0.93417
387509       1    6297406    6356035     34       7  27845       1.0372    2.2204e-16       1.0372
11332        1    6314332    6488826    215      10  29847     -0.41026    2.7756e-16     -0.41026
83715        1    6449836    6531004     56       4  31130      -1.2404    2.2204e-16      -1.2404
54626        1    6465292    6519724     43       3  31220      -1.3319    2.2204e-16      -1.3319
8718         1    6510787    6562432     18       3  29702     -0.32325    2.7756e-16     -0.32325
57449        1    6516152    6615121    103       9  31325     -0.13947    2.7756e-16     -0.13947
79707        1    6571407    6649658    109       7  31677      0.14045    2.7756e-16      0.14045
80835        1    6579987    6649817     96       6  31657      0.12662    2.7756e-16      0.12662
3104         1    6605051    6659340     87       9  31676     -0.11715    2.6368e-16     -0.11715
148479       1    6638756    6694093     63       7  32261     -0.46707    2.7756e-16     -0.46707
9903         1    6640784    6697958     68       7  32231     -0.43573    2.7756e-16     -0.43573
90326        1    6649925    6705646     68       7  32201     -0.50227    2.2204e-16     -0.50227
55735        1    6684228    6796966    127       8  33592     -0.25592    2.7756e-16     -0.25592
23261        1    6810384    7839766   1757     144  31560      0.30913    2.7756e-16      0.30913
