# ALPHA = 0.05
# NUMBER_OF_TESTS = 4

# _SET1_  VARIABLE = Prenatal_Negative (set)
# _SET1_  NGENES = 1245
# _SET1_  P-VALUE = 0.0115612
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   126792        1    1132629    1180421    122       4  31826        3.514   6.4789e-05    4.4409e-16        3.514
_SET1_   80772         1    1225136    1274276     30       3  31844       2.3094    0.0045229    4.4409e-16       2.3094
_SET1_   2782          1    1706725    1857552     94      11  31686      0.73054      0.15023    2.2204e-16      0.73054
_SET1_   199990        1    2105899    2179159     59       9  31820       0.4142      0.23049    2.7756e-16       0.4142
_SET1_   11079         1    2288214    2346883     73      16  30803      -1.6242      0.92144    2.2204e-16      -1.6242
_SET1_   388585        1    2450184    2496684     13       2  31844     -0.21181      0.46239    2.7756e-16     -0.21181
_SET1_   127281        1    2482899    2532908     14       2  31827     -0.31333      0.50375    2.7756e-16     -0.31333
_SET1_   63976         1    2950565    3365185    651      73  31424       1.0153     0.070456    2.2204e-16       1.0153
_SET1_   79707         1    6571407    6649658    109       7  31677      0.14045      0.32818    2.7756e-16      0.14045
_SET1_   8863          1    7809413    7915241    228      22  29925      0.92506      0.13922    2.2204e-16      0.92506
_SET1_   84275         1    9564528    9652831     87       8  31192      -1.4475       0.8839    2.2204e-16      -1.4475
_SET1_   22883         1    9779079    9919550    283      11  31048       1.7314     0.020511    2.2204e-16       1.7314
_SET1_   84328         1    9972168   10038460     81       8  31540      -1.7549      0.92915    2.2204e-16      -1.7549
_SET1_   23095         1   10235606   10451664    293       6  31698      0.36498       0.2299    2.7756e-16      0.36498
_SET1_   1325          1   10474776   10522060     66      11  31103     -0.39948      0.56094    2.7756e-16     -0.39948
_SET1_   4878          1   11895766   11942840     66       8  31757      -1.3172      0.84184    2.2204e-16      -1.3172
_SET1_   79180         1   15701391   15766839    109      12  31775     -0.44758      0.55085    2.7756e-16     -0.44758
_SET1_   23400         1   17302453   17373467    112       7  31832         1.64     0.025404    2.2204e-16         1.64
_SET1_   8659          1   19187924   19264293    148      21  31741       1.4491     0.037724    2.2204e-16       1.4491
_SET1_   55450         1   20798884   20847728     51       8  31716      0.54679      0.19512    2.2204e-16      0.54679
_SET1_   65018         1   20924948   20988004    238      22  31714      0.78224      0.12727    2.2204e-16      0.78224
_SET1_   2048          1   23002263   23251823    392      47  31303       2.1541     0.006192    4.4409e-16       2.1541
_SET1_   2134          1   26313266   26372955     69       6  31640    -0.061729      0.40846    2.7062e-16    -0.061729
_SET1_   79947         1   26723773   26807797     72       9  31481     -0.29081       0.5023    2.7756e-16     -0.29081
_SET1_   3151          1   26763902   26813133     41       6  31434     -0.71565      0.66855    2.2204e-16     -0.71565
_SET1_   6548          1   27415300   27516621    125       2  31692     -0.27466      0.49856    2.7756e-16     -0.27466
_SET1_   2827          1   27684148   27732318     31       4  30596       3.7577   4.2575e-05    4.4409e-16       3.7577
_SET1_   4985          1   29103654   29200208    121      11  31822     -0.55099      0.58622    2.2204e-16     -0.55099
_SET1_   553115        1   32085463   32145838     82       8  31567       1.6057     0.028981    2.2204e-16       1.6057
_SET1_   576           1   32182718   32265494     58      11  30428       1.7717     0.025784    2.2204e-16       1.7717
_SET1_   8073          1   32362022   32438988     36       3  31762       1.0914     0.084546    2.2204e-16       1.0914
_SET1_   65108         1   32789430   32836840      4       2  27651      -1.8403      0.97048    2.2204e-16      -1.8403
_SET1_   149076        1   33686908   33776321     70       9  31492     0.068003       0.3639    2.6368e-16     0.068003
_SET1_   63967         1   36175819   36270568     73       4  37247        2.023    0.0013211    4.4409e-16        2.023
_SET1_   26523         1   36300412   36405211     20       3  31796       2.3194    0.0041011    4.4409e-16       2.3194
_SET1_   29889         1   38022413   38096586     73       7  31603     -0.34274      0.52374    2.7756e-16     -0.34274
_SET1_   4802          1   41122242   41247275    186       9  31636        1.497     0.034843    2.2204e-16        1.497
_SET1_   59269         1   41962036   42536596    642      43  31564     -0.71848      0.57542    2.2204e-16     -0.71848
_SET1_   284716        1   42811468   42899900    184      10  31782       0.4281       0.2201    2.7756e-16       0.4281
_SET1_   1802          1   44400653   44449043     68       8  32776       3.3956   6.6243e-05    4.4409e-16       3.3956
_SET1_   79033         1   44676742   44856315     70       4  31651       -1.547       0.8963    2.2204e-16       -1.547
_SET1_   541468        1   46634006   46696928     29       6  31745       -1.432      0.86592    2.2204e-16       -1.432
_SET1_   8438          1   46678367   46754145     34       8  31512     -0.43392      0.55528    2.7756e-16     -0.43392
_SET1_   64756         1   47090711   47169099    211      12  31669       1.4261     0.038886    2.2204e-16       1.4261
_SET1_   63950         1   50873223   50924119     34       3  31844      0.58471      0.18492    2.2204e-16      0.58471
_SET1_   1031          1   51399367   51450309     32       4  31555      0.57747      0.19587    2.2204e-16      0.57747
_SET1_   22996         1   51742930   51845785     30       5  31571      0.55067      0.19926    2.2204e-16      0.55067
_SET1_   5865          1   52363628   52491436    139       9  31776      0.18824      0.30307    2.7756e-16      0.18824
_SET1_   91408         1   52486857   52566388     82       4  31825      0.18785      0.31037    2.7756e-16      0.18785
_SET1_   4998          1   52828501   52905143     57       6  31193     -0.50037      0.59962    2.2204e-16     -0.50037
_SET1_   65260         1   53142014   53199038     54       5  31757     -0.58701      0.61049    2.2204e-16     -0.58701
_SET1_   7804          1   53698036   53828821    284      30  31528     -0.18386      0.43369    2.7756e-16     -0.18386
_SET1_   55706         1   54221133   54339225     78       5  31835      -0.3148      0.50038    2.7756e-16      -0.3148
_SET1_   8613          1   56950419   57080257    301      32  30811      0.30488      0.27949    2.7756e-16      0.30488
_SET1_   5236          1   64023947   64135916    146      23  31765      -1.5811      0.89673    2.2204e-16      -1.5811
_SET1_   55225         1   65175778   65308915    128       9  31246      0.80826      0.14321    2.2204e-16      0.80826
_SET1_   3595          1   67738047   67872583    188      16  31751      0.97857     0.093558    2.2204e-16      0.97857
_SET1_   26289         1   77712662   78035654    677      38  31688     -0.57573      0.49704    2.2204e-16     -0.57573
_SET1_   23266         1   82231082   82468107    458      29  31235      0.28415      0.24055    2.7756e-16      0.28415
_SET1_   23576         1   85774168   86079046    615      48  31069      0.82185      0.10062    2.2204e-16      0.82185
_SET1_   55170         1  107564267  107611916     54       2  31515    -0.048707      0.42013    2.7062e-16    -0.048707
_SET1_   22854         1  107647540  108034477    276      42  31590    -0.087057      0.40442    2.6368e-16    -0.087057
_SET1_   1952          1  109757641  109828378     75       9  31838       1.2516     0.059038    2.2204e-16       1.2516
_SET1_   127002        1  109991533  110045426     10       3  28253     -0.32944       0.6368    2.7756e-16     -0.32944
_SET1_   284613        1  110001658  110053063     21       3  29620      -1.2391      0.87661    2.2204e-16      -1.2391
_SET1_   57463         1  110039446  110087336     81       7  31465    -0.054577      0.41495    2.7062e-16    -0.054577
_SET1_   83873         1  110047494  110098487     72       6  31417      0.15422       0.3392    2.7756e-16      0.15422
_SET1_   271           1  110127435  110184677     56       6  31736      0.69053      0.16169    2.2204e-16      0.69053
_SET1_   388662        1  110658132  110754824    102       7  31259      0.49348      0.22829    2.7756e-16      0.49348
_SET1_   3737          1  111126202  111209096    144      18  31645      0.96786      0.10209    2.2204e-16      0.96786
_SET1_   55924         1  112254686  112333419    137      16  31670     -0.14295      0.42974    2.7756e-16     -0.14295
_SET1_   4343          1  113182048  113253368     79      10  31505      0.54155      0.20596    2.2204e-16      0.54155
_SET1_   5738          1  117417689  117542972    191      16  30936    -0.053395      0.42142    2.7062e-16    -0.053395
_SET1_   26227         1  120219419  120296849     81      10  31023      -1.6266      0.91965    2.2204e-16      -1.6266
